Year,SSP126_1,SSP126_10,SSP245_1,SSP245_10,SSP370_1,SSP370_10,SSP585_1,SSP585_10
2000,0.600865966,6.00865965,0.600865966,6.00865965,0.49949546,4.994954589,0.49949546,4.994954589
2001,0.607296415,6.072964172,0.607296415,6.072964172,0.575710109,5.757101085,0.575710109,5.757101085
2002,0.685731209,6.857312084,0.685731209,6.857312084,0.68521822,6.852182199,0.68521822,6.852182199
2003,0.509144828,5.091448284,0.509144828,5.091448284,0.572774418,5.727744176,0.572774418,5.727744176
2004,0.651788504,6.517885015,0.651788504,6.517885015,0.701168619,7.011686194,0.701168619,7.011686194
2005,0.729052694,7.290526908,0.729052694,7.290526908,0.770919876,7.709198759,0.770919876,7.709198759
2006,0.769036574,7.690365736,0.769036574,7.690365736,0.791396877,7.913968767,0.791396877,7.913968767
2007,0.767346765,7.673467656,0.767346765,7.673467656,0.866601245,8.666012451,0.866601245,8.666012451
2008,0.815467195,8.154671955,0.815467195,8.154671955,0.9305143,9.305142999,0.9305143,9.305142999
2009,0.91588565,9.158856481,0.91588565,9.158856481,1.03589582,10.3589582,1.03589582,10.3589582
2010,0.862447875,8.624478766,0.862447875,8.624478766,0.985460404,9.854604039,0.985460404,9.854604039
2011,0.867371275,8.673712747,0.867371275,8.673712747,0.976238581,9.762385826,0.976238581,9.762385826
2012,0.895198925,8.951989256,0.895198925,8.951989256,0.989962862,9.899628622,0.989962862,9.899628622
2013,0.862042724,8.620427235,0.862042724,8.620427235,0.954770381,9.547703806,0.954770381,9.547703806
2014,0.985991952,9.859919511,0.985991952,9.859919511,1.151283958,11.51283958,1.151283958,11.51283958
2015,1.021171001,10.21171002,1.176843524,11.76843522,0.963387565,9.633875658,1.111309949,11.11309949
2016,1.054765806,10.54765805,1.137158988,11.37158988,0.895304455,8.953044568,1.160918887,11.60918887
2017,1.180277524,11.80277523,1.094376568,10.94376565,1.08253719,10.82537191,1.166065897,11.66065896
2018,1.110059074,11.10059072,1.145767583,11.45767583,1.091708187,10.91708189,1.129881205,11.29881204
2019,1.194498285,11.94498284,1.260660978,12.60660979,1.054673081,10.54673082,1.35437153,13.5437153
2020,1.369018328,13.69018327,1.405570453,14.05570456,1.275173508,12.75173508,1.3652151,13.65215101
