Year,SSP126,SSP245,SSP370,SSP585
1850,-2.360423923,-2.360423923,-2.238605823,-2.238605823
1851,-1.532517837,-1.532517837,-1.909447109,-1.909447109
1852,-2.447577152,-2.447577152,-2.907089757,-2.907089757
1853,-0.597459748,-0.597459748,-0.973690972,-0.973690972
1854,-1.392927927,-1.392927927,-1.816776112,-1.816776112
1855,-1.756102964,-1.756102964,-2.406422958,-2.406422958
1856,-1.36014963,-1.36014963,-0.908786381,-0.908786381
1857,-0.328565567,-0.328565567,-1.013943461,-1.013943461
1858,-1.061723891,-1.061723891,0.021829484,0.021829484
1859,-3.932707078,-3.932707078,-3.147920752,-3.147920752
1860,-1.41538844,-1.41538844,-0.370529124,-0.370529124
1861,-1.861004001,-1.861004001,-1.232555172,-1.232555172
1862,-1.289995282,-1.289995282,-0.873742767,-0.873742767
1863,-1.231132519,-1.231132519,-1.486909111,-1.486909111
1864,-1.189023069,-1.189023069,-0.424683754,-0.424683754
1865,-0.720024223,-0.720024223,-1.370802761,-1.370802761
1866,-0.536121125,-0.536121125,-1.273685552,-1.273685552
1867,-1.108598216,-1.108598216,-0.268878538,-0.268878538
1868,-1.4407666,-1.4407666,-1.884726249,-1.884726249
1869,-1.261816733,-1.261816733,-1.529403195,-1.529403195
1870,-1.057685744,-1.057685744,-0.639475126,-0.639475126
1871,-1.009479204,-1.009479204,-1.604769338,-1.604769338
1872,-0.656694394,-0.656694394,-1.023458549,-1.023458549
1873,0.465630798,0.465630798,0.203658788,0.203658788
1874,0.396428657,0.396428657,-0.342549651,-0.342549651
1875,1.279574857,1.279574857,1.247418735,1.247418735
1876,0.849891355,0.849891355,0.283942651,0.283942651
1877,1.86798636,1.86798636,1.151578898,1.151578898
1878,1.212615789,1.212615789,0.97762873,0.97762873
1879,-0.242256049,-0.242256049,0.290127194,0.290127194
1880,-0.99828918,-0.99828918,-0.978850536,-0.978850536
1881,-0.20215711,-0.20215711,0.363545537,0.363545537
1882,-0.297790056,-0.297790056,0.069844336,0.069844336
1883,0.526633034,0.526633034,0.480547239,0.480547239
1884,-0.05597978,-0.05597978,0.322323538,0.322323538
1885,-0.196314278,-0.196314278,-0.003826524,-0.003826524
1886,-0.086301418,-0.086301418,0.607052452,0.607052452
1887,-1.111201657,-1.111201657,-1.477747451,-1.477747451
1888,-0.559842851,-0.559842851,-0.277489894,-0.277489894
1889,-0.076917354,-0.076917354,-0.569617598,-0.569617598
1890,-0.765027462,-0.765027462,-0.242887249,-0.242887249
1891,-1.041437932,-1.041437932,-1.580597155,-1.580597155
1892,1.035648701,1.035648701,0.820804003,0.820804003
1893,1.20950384,1.20950384,0.652292924,0.652292924
1894,0.802822462,0.802822462,1.008878279,1.008878279
1895,-0.044526022,-0.044526022,-0.582111732,-0.582111732
1896,0.18251264,0.18251264,0.420583034,0.420583034
1897,-0.233613847,-0.233613847,0.004332516,0.004332516
1898,0.698048463,0.698048463,0.063029899,0.063029899
1899,-0.270365748,-0.270365748,-0.338333275,-0.338333275
1900,1.484595589,1.484595589,1.238227651,1.238227651
1901,0.375038681,0.375038681,0.465160351,0.465160351
1902,-0.150477188,-0.150477188,-0.342503211,-0.342503211
1903,-0.833137734,-0.833137734,-1.418734917,-1.418734917
1904,-0.400915879,-0.400915879,-0.916983319,-0.916983319
1905,0.553158746,0.553158746,0.353924499,0.353924499
