,126_1,126_10,245_1,245_10,370_1,370_10,585_1,585_10
1850,-0.236042393,-2.360423923,-0.236042393,-2.360423923,-0.223860583,-2.238605823,-0.223860583,-2.238605823
1851,-0.153251782,-1.532517837,-0.153251782,-1.532517837,-0.190944711,-1.909447109,-0.190944711,-1.909447109
1852,-0.244757715,-2.447577152,-0.244757715,-2.447577152,-0.290708976,-2.907089757,-0.290708976,-2.907089757
1853,-0.059745975,-0.597459748,-0.059745975,-0.597459748,-0.097369097,-0.973690972,-0.097369097,-0.973690972
1854,-0.139292792,-1.392927927,-0.139292792,-1.392927927,-0.181677611,-1.816776112,-0.181677611,-1.816776112
1855,-0.175610297,-1.756102964,-0.175610297,-1.756102964,-0.240642296,-2.406422958,-0.240642296,-2.406422958
1856,-0.136014963,-1.36014963,-0.136014963,-1.36014963,-0.090878639,-0.908786381,-0.090878639,-0.908786381
1857,-0.032856556,-0.328565567,-0.032856556,-0.328565567,-0.101394345,-1.013943461,-0.101394345,-1.013943461
1858,-0.106172389,-1.061723891,-0.106172389,-1.061723891,0.002182948,0.021829484,0.002182948,0.021829484
1859,-0.393270707,-3.932707078,-0.393270707,-3.932707078,-0.314792076,-3.147920752,-0.314792076,-3.147920752
1860,-0.141538844,-1.41538844,-0.141538844,-1.41538844,-0.037052912,-0.370529124,-0.037052912,-0.370529124
1861,-0.1861004,-1.861004001,-0.1861004,-1.861004001,-0.123255517,-1.232555172,-0.123255517,-1.232555172
1862,-0.128999529,-1.289995282,-0.128999529,-1.289995282,-0.087374278,-0.873742767,-0.087374278,-0.873742767
1863,-0.123113251,-1.231132519,-0.123113251,-1.231132519,-0.148690911,-1.486909111,-0.148690911,-1.486909111
1864,-0.118902307,-1.189023069,-0.118902307,-1.189023069,-0.042468376,-0.424683754,-0.042468376,-0.424683754
1865,-0.072002423,-0.720024223,-0.072002423,-0.720024223,-0.137080276,-1.370802761,-0.137080276,-1.370802761
1866,-0.053612111,-0.536121125,-0.053612111,-0.536121125,-0.127368555,-1.273685552,-0.127368555,-1.273685552
1867,-0.110859822,-1.108598216,-0.110859822,-1.108598216,-0.026887854,-0.268878538,-0.026887854,-0.268878538
1868,-0.144076661,-1.4407666,-0.144076661,-1.4407666,-0.188472624,-1.884726249,-0.188472624,-1.884726249
1869,-0.126181674,-1.261816733,-0.126181674,-1.261816733,-0.152940319,-1.529403195,-0.152940319,-1.529403195
1870,-0.105768574,-1.057685744,-0.105768574,-1.057685744,-0.063947512,-0.639475126,-0.063947512,-0.639475126
1871,-0.10094792,-1.009479204,-0.10094792,-1.009479204,-0.160476934,-1.604769338,-0.160476934,-1.604769338
1872,-0.06566944,-0.656694394,-0.06566944,-0.656694394,-0.102345855,-1.023458549,-0.102345855,-1.023458549
1873,0.046563079,0.465630798,0.046563079,0.465630798,0.02036588,0.203658788,0.02036588,0.203658788
1874,0.039642863,0.396428657,0.039642863,0.396428657,-0.034254964,-0.342549651,-0.034254964,-0.342549651
1875,0.127957483,1.279574857,0.127957483,1.279574857,0.124741875,1.247418735,0.124741875,1.247418735
1876,0.084989133,0.849891355,0.084989133,0.849891355,0.028394264,0.283942651,0.028394264,0.283942651
1877,0.186798637,1.86798636,0.186798637,1.86798636,0.115157889,1.151578898,0.115157889,1.151578898
1878,0.121261579,1.212615789,0.121261579,1.212615789,0.097762873,0.97762873,0.097762873,0.97762873
1879,-0.024225604,-0.242256049,-0.024225604,-0.242256049,0.029012719,0.290127194,0.029012719,0.290127194
1880,-0.099828917,-0.99828918,-0.099828917,-0.99828918,-0.097885053,-0.978850536,-0.097885053,-0.978850536
1881,-0.020215711,-0.20215711,-0.020215711,-0.20215711,0.036354554,0.363545537,0.036354554,0.363545537
1882,-0.029779006,-0.297790056,-0.029779006,-0.297790056,0.006984434,0.069844336,0.006984434,0.069844336
1883,0.052663303,0.526633034,0.052663303,0.526633034,0.048054724,0.480547239,0.048054724,0.480547239
1884,-0.005597977,-0.05597978,-0.005597977,-0.05597978,0.032232354,0.322323538,0.032232354,0.322323538
1885,-0.019631426,-0.196314278,-0.019631426,-0.196314278,-0.000382653,-0.003826524,-0.000382653,-0.003826524
1886,-0.008630142,-0.086301418,-0.008630142,-0.086301418,0.060705245,0.607052452,0.060705245,0.607052452
1887,-0.111120167,-1.111201657,-0.111120167,-1.111201657,-0.147774745,-1.477747451,-0.147774745,-1.477747451
1888,-0.055984285,-0.559842851,-0.055984285,-0.559842851,-0.02774899,-0.277489894,-0.02774899,-0.277489894
1889,-0.007691735,-0.076917354,-0.007691735,-0.076917354,-0.05696176,-0.569617598,-0.05696176,-0.569617598
1890,-0.076502746,-0.765027462,-0.076502746,-0.765027462,-0.024288724,-0.242887249,-0.024288724,-0.242887249
1891,-0.104143792,-1.041437932,-0.104143792,-1.041437932,-0.158059715,-1.580597155,-0.158059715,-1.580597155
1892,0.103564869,1.035648701,0.103564869,1.035648701,0.0820804,0.820804003,0.0820804,0.820804003
1893,0.120950386,1.20950384,0.120950386,1.20950384,0.065229293,0.652292924,0.065229293,0.652292924
1894,0.080282247,0.802822462,0.080282247,0.802822462,0.100887828,1.008878279,0.100887828,1.008878279
1895,-0.004452601,-0.044526022,-0.004452601,-0.044526022,-0.058211172,-0.582111732,-0.058211172,-0.582111732
1896,0.018251264,0.18251264,0.018251264,0.18251264,0.042058302,0.420583034,0.042058302,0.420583034
1897,-0.023361385,-0.233613847,-0.023361385,-0.233613847,0.000433252,0.004332516,0.000433252,0.004332516
1898,0.069804846,0.698048463,0.069804846,0.698048463,0.00630299,0.063029899,0.00630299,0.063029899
1899,-0.027036575,-0.270365748,-0.027036575,-0.270365748,-0.033833328,-0.338333275,-0.033833328,-0.338333275
1900,0.148459559,1.484595589,0.148459559,1.484595589,0.123822766,1.238227651,0.123822766,1.238227651
1901,0.037503868,0.375038681,0.037503868,0.375038681,0.046516036,0.465160351,0.046516036,0.465160351
1902,-0.01504772,-0.150477188,-0.01504772,-0.150477188,-0.034250321,-0.342503211,-0.034250321,-0.342503211
1903,-0.083313773,-0.833137734,-0.083313773,-0.833137734,-0.141873492,-1.418734917,-0.141873492,-1.418734917
1904,-0.040091588,-0.400915879,-0.040091588,-0.400915879,-0.091698332,-0.916983319,-0.091698332,-0.916983319
1905,0.055315874,0.553158746,0.055315874,0.553158746,0.03539245,0.353924499,0.03539245,0.353924499
1906,0.020598766,0.205987656,0.020598766,0.205987656,-0.015361751,-0.153617516,-0.015361751,-0.153617516
1907,-0.016668442,-0.166684419,-0.016668442,-0.166684419,-0.022335105,-0.223351051,-0.022335105,-0.223351051
1908,-0.082358504,-0.823585043,-0.082358504,-0.823585043,-0.058996531,-0.589965318,-0.058996531,-0.589965318
1909,0.020029208,0.200292083,0.020029208,0.200292083,0.09979709,0.997970893,0.09979709,0.997970893
1910,0.033958931,0.339589318,0.033958931,0.339589318,-0.004891859,-0.048918585,-0.004891859,-0.048918585
1911,-0.014652971,-0.146529725,-0.014652971,-0.146529725,-0.061129358,-0.611293579,-0.061129358,-0.611293579
1912,-0.026697894,-0.266978947,-0.026697894,-0.266978947,-0.102164003,-1.021640034,-0.102164003,-1.021640034
1913,0.030240334,0.302403357,0.030240334,0.302403357,-0.063467392,-0.634673925,-0.063467392,-0.634673925
1914,-0.09027545,-0.90275453,-0.09027545,-0.90275453,-0.12836388,-1.283638797,-0.12836388,-1.283638797
1915,-0.061337382,-0.613373825,-0.061337382,-0.613373825,-0.158531868,-1.585318678,-0.158531868,-1.585318678
1916,0.09406237,0.940623699,0.09406237,0.940623699,-0.045469744,-0.454697435,-0.045469744,-0.454697435
1917,-0.159151975,-1.591519745,-0.159151975,-1.591519745,-0.156924796,-1.569247963,-0.156924796,-1.569247963
1918,0.09509902,0.950990171,0.09509902,0.950990171,-0.055364674,-0.553646742,-0.055364674,-0.553646742
1919,0.104421393,1.044213921,0.104421393,1.044213921,0.060154327,0.601543267,0.060154327,0.601543267
1920,-0.038494548,-0.384945482,-0.038494548,-0.384945482,-0.10850812,-1.085081205,-0.10850812,-1.085081205
1921,-0.118241934,-1.18241934,-0.118241934,-1.18241934,-0.159065156,-1.59065156,-0.159065156,-1.59065156
1922,0.105361613,1.053616139,0.105361613,1.053616139,0.048068357,0.480683569,0.048068357,0.480683569
