"","sum"
"Thawed_N_1",-0.223860582986083
"Thawed_N_2",-0.190944710662458
"Thawed_N_3",-0.290708976378839
"Thawed_N_4",-0.0973690965043159
"Thawed_N_5",-0.181677611162479
"Thawed_N_6",-0.240642296258846
"Thawed_N_7",-0.0908786387089455
"Thawed_N_8",-0.101394345196798
"Thawed_N_9",0.00218294840050565
"Thawed_N_10",-0.31479207579187
"Thawed_N_11",-0.0370529118589009
"Thawed_N_12",-0.123255516624462
"Thawed_N_13",-0.0873742775786586
"Thawed_N_14",-0.148690911459082
"Thawed_N_15",-0.0424683758988117
"Thawed_N_16",-0.137080275950965
"Thawed_N_17",-0.127368555164575
"Thawed_N_18",-0.0268878541824083
"Thawed_N_19",-0.188472624211792
"Thawed_N_20",-0.152940318702664
"Thawed_N_21",-0.0639475124342057
"Thawed_N_22",-0.160476934194782
"Thawed_N_23",-0.102345854618158
"Thawed_N_24",0.0203658799710502
"Thawed_N_25",-0.0342549640779472
"Thawed_N_26",0.124741874703609
"Thawed_N_27",0.0283942640934185
"Thawed_N_28",0.115157889495656
"Thawed_N_29",0.097762873002875
"Thawed_N_30",0.0290127188964609
"Thawed_N_31",-0.0978850526037012
"Thawed_N_32",0.0363545535600777
"Thawed_N_33",0.00698443358776964
"Thawed_N_34",0.0480547236497236
"Thawed_N_35",0.0322323535139452
"Thawed_N_36",-0.000382652683670624
"Thawed_N_37",0.0607052454042687
"Thawed_N_38",-0.147774745327764
"Thawed_N_39",-0.0277489896790566
"Thawed_N_40",-0.0569617597721739
"Thawed_N_41",-0.0242887243799515
"Thawed_N_42",-0.158059715378381
"Thawed_N_43",0.0820803998021506
"Thawed_N_44",0.0652292929100861
"Thawed_N_45",0.100887828119156
"Thawed_N_46",-0.0582111721101326
"Thawed_N_47",0.0420583024997233
"Thawed_N_48",0.000433251826531473
"Thawed_N_49",0.00630298996822574
"Thawed_N_50",-0.0338333276936349
"Thawed_N_51",0.123822765731327
"Thawed_N_52",0.0465160357163956
"Thawed_N_53",-0.034250320754044
"Thawed_N_54",-0.141873492105445
"Thawed_N_55",-0.091698331988297
"Thawed_N_56",0.0353924496780205
"Thawed_N_57",-0.0153617513722264
"Thawed_N_58",-0.0223351053200831
"Thawed_N_59",-0.0589965307637782
"Thawed_N_60",0.0997970900740185
"Thawed_N_61",-0.00489185868923354
"Thawed_N_62",-0.0611293581030892
"Thawed_N_63",-0.102164002669394
"Thawed_N_64",-0.0634673915555698
"Thawed_N_65",-0.128363880352099
"Thawed_N_66",-0.158531868259326
"Thawed_N_67",-0.0454697436020753
"Thawed_N_68",-0.156924796009894
"Thawed_N_69",-0.0553646742143719
"Thawed_N_70",0.0601543272726543
"Thawed_N_71",-0.108508120082684
"Thawed_N_72",-0.159065155767656
"Thawed_N_73",0.0480683573280082
"Thawed_N_74",0.0452094612649949
"Thawed_N_75",-0.0223546145238424
"Thawed_N_76",0.050081018517524
"Thawed_N_77",0.00808026123343813
"Thawed_N_78",0.00550410966998947
"Thawed_N_79",0.0161148204210775
"Thawed_N_80",0.12747931394429
"Thawed_N_81",0.0146773114418188
"Thawed_N_82",0.00483141856940882
"Thawed_N_83",0.134310192744832
"Thawed_N_84",0.0195590288418369
"Thawed_N_85",0.034275180377506
"Thawed_N_86",-0.0819386793734211
"Thawed_N_87",0.0293611049398059
"Thawed_N_88",0.0829770287985757
"Thawed_N_89",-0.0399408209162074
"Thawed_N_90",0.077292598785335
"Thawed_N_91",0.109579272133885
"Thawed_N_92",-0.05788972127224
"Thawed_N_93",0.0201100749435945
"Thawed_N_94",0.0657387911385938
"Thawed_N_95",0.00287345895118606
"Thawed_N_96",0.124967093367361
"Thawed_N_97",0.155801175999614
"Thawed_N_98",0.12668602043861
"Thawed_N_99",0.0559596994916188
"Thawed_N_100",0.11458355049431
"Thawed_N_101",0.0825746302225077
"Thawed_N_102",0.131104679515948
"Thawed_N_103",0.11975141197708
"Thawed_N_104",0.226867488740794
"Thawed_N_105",0.0738907148238126
"Thawed_N_106",0.170732060688528
"Thawed_N_107",0.0783832826688015
"Thawed_N_108",0.171848388532338
"Thawed_N_109",0.0974355983826322
"Thawed_N_110",0.142101292376708
"Thawed_N_111",0.0797525748354836
"Thawed_N_112",0.103105254231124
"Thawed_N_113",0.0410180968807696
"Thawed_N_114",0.224175578833699
"Thawed_N_115",0.0819759306676846
"Thawed_N_116",0.0955667536895855
"Thawed_N_117",0.0361464428374733
"Thawed_N_118",-0.0583674485724886
"Thawed_N_119",-0.030382402974308
"Thawed_N_120",-0.0427380164667061
"Thawed_N_121",0.0291761021873499
"Thawed_N_122",0.0445444629898864
"Thawed_N_123",-0.132987131107793
"Thawed_N_124",0.0298255141319251
"Thawed_N_125",-0.0674776089106646
"Thawed_N_126",0.0852191088604753
"Thawed_N_127",0.115252039492514
"Thawed_N_128",0.0750143324056356
"Thawed_N_129",0.122783669177232
"Thawed_N_130",0.0302930375244543
"Thawed_N_131",0.171768937622486
"Thawed_N_132",0.0332137288825073
"Thawed_N_133",0.151701420619192
"Thawed_N_134",0.154927526671358
"Thawed_N_135",0.113021147330578
"Thawed_N_136",0.174627216153582
"Thawed_N_137",0.183099685161243
"Thawed_N_138",0.162613550263884
"Thawed_N_139",0.162561031116179
"Thawed_N_140",0.139765457132653
"Thawed_N_141",0.204095249879913
"Thawed_N_142",0.193203327886632
"Thawed_N_143",0.124862180600332
"Thawed_N_144",0.247941789082911
"Thawed_N_145",0.19372275537728
"Thawed_N_146",0.0747810764988881
"Thawed_N_147",0.299640218757936
"Thawed_N_148",0.378107018185617
"Thawed_N_149",0.433597078940848
"Thawed_N_150",0.447923214359127
"Thawed_N_151",0.499495460185753
"Thawed_N_152",0.575710108854377
"Thawed_N_153",0.685218220421683
"Thawed_N_154",0.572774417632376
"Thawed_N_155",0.701168619080424
"Thawed_N_156",0.770919875508913
"Thawed_N_157",0.791396876882351
"Thawed_N_158",0.866601245160169
"Thawed_N_159",0.930514300237954
"Thawed_N_160",1.0358958195781
"Thawed_N_161",0.985460403954761
"Thawed_N_162",0.976238581037037
"Thawed_N_163",0.989962861969784
"Thawed_N_164",0.954770380659694
"Thawed_N_165",1.15128395799616
"Thawed_N_166",0.963387564696845
"Thawed_N_167",0.895304455304934
"Thawed_N_168",1.08253718976157
"Thawed_N_169",1.09170818696302
"Thawed_N_170",1.05467308135786
"Thawed_N_171",1.27517350771828
"Thawed_N_172",1.26425986179656
"Thawed_N_173",1.23372247788663
"Thawed_N_174",1.29233424149162
"Thawed_N_175",1.48077889970372
"Thawed_N_176",1.46543435008453
"Thawed_N_177",1.58476158740709
"Thawed_N_178",1.51633970826677
"Thawed_N_179",1.71544209094036
"Thawed_N_180",1.75478883183469
"Thawed_N_181",1.77309952102416
"Thawed_N_182",1.86729200205793
"Thawed_N_183",1.87318013232557
"Thawed_N_184",2.04181523017293
"Thawed_N_185",1.9572659243062
"Thawed_N_186",2.08977796247036
"Thawed_N_187",2.0983123323552
"Thawed_N_188",2.30589880446348
"Thawed_N_189",2.36759556909973
"Thawed_N_190",2.3821736299248
"Thawed_N_191",2.44087624741304
"Thawed_N_192",2.5560310584802
"Thawed_N_193",2.621549012527
"Thawed_N_194",2.66578817731818
"Thawed_N_195",2.52856911279482
"Thawed_N_196",2.64882687850716
"Thawed_N_197",2.72593608775253
"Thawed_N_198",2.80084720716032
"Thawed_N_199",2.89482041151879
"Thawed_N_200",2.88302685754292
"Thawed_N_201",3.1206142936536
"Thawed_N_202",3.25485814070966
"Thawed_N_203",3.17062633731164
"Thawed_N_204",3.28750614779793
"Thawed_N_205",3.36197199142087
"Thawed_N_206",3.57598998681118
"Thawed_N_207",3.55354323281279
"Thawed_N_208",3.6357168531784
"Thawed_N_209",3.72416981024855
"Thawed_N_210",3.86318153696289
"Thawed_N_211",3.85312721116057
"Thawed_N_212",4.02747633755127
"Thawed_N_213",4.12147537194876
"Thawed_N_214",4.19506642051184
"Thawed_N_215",4.16893162756096
"Thawed_N_216",4.27589914700291
"Thawed_N_217",4.42027380660597
"Thawed_N_218",4.45198760052924
"Thawed_N_219",4.4944972627486
"Thawed_N_220",4.50254807472207
"Thawed_N_221",4.64234512902156
"Thawed_N_222",4.68122115692134
"Thawed_N_223",4.91453348479576
"Thawed_N_224",4.9427862204406
"Thawed_N_225",5.01644550965247
"Thawed_N_226",5.02204045294193
"Thawed_N_227",5.09904024460179
"Thawed_N_228",5.25270410552238
"Thawed_N_229",5.26480989946678
"Thawed_N_230",5.39951446258031
"Thawed_N_231",5.48911816063328
"Thawed_N_232",5.45702037494259
"Thawed_N_233",5.50617152887505
"Thawed_N_234",5.60215352484413
"Thawed_N_235",5.65896933912355
"Thawed_N_236",5.75555548237948
"Thawed_N_237",5.8291894561886
"Thawed_N_238",5.77651292881549
"Thawed_N_239",5.85415266375523
"Thawed_N_240",5.91516546009068
"Thawed_N_241",5.95944129117064
"Thawed_N_242",6.07243190186573
"Thawed_N_243",6.09228406018084
"Thawed_N_244",6.08042582436815
"Thawed_N_245",6.02860452747253
"Thawed_N_246",6.20105780857134
"Thawed_N_247",6.21868791635084
"Thawed_N_248",6.35846775573498
"Thawed_N_249",6.38106274415469
"Thawed_N_250",6.43772558278712
"Thawed_N_251",6.39888619173132
