,mean_585,mean_370,mean_245,mean_126,std_585,std_370,std_245,std_126,Year,,,,,,,,,,,,,,,,
thaw_depth_1,1.001590028,1.001590028,0.896287311,0.896287311,0.337605073,0.337605073,0.30245589,0.30245589,1850,,,,,,,,,,,,,,,,
thaw_depth_2,1.027013017,1.027013017,0.923006545,0.923006545,0.361969882,0.361969882,0.324082181,0.324082181,1851,,,,,,,,,,,,,,,,
thaw_depth_3,0.969736854,0.969736854,0.907895775,0.907895775,0.682573232,0.682573232,0.314851469,0.314851469,1852,,,,,,,,0.004007381,,,,,,,,
thaw_depth_4,1.05780122,1.05780122,0.968744011,0.968744011,0.373736476,0.373736476,0.356544658,0.356544658,1853,,,,,,,,,,,,,,,,
thaw_depth_5,0.998579775,0.998579775,0.913924508,0.913924508,0.404527792,0.404527792,0.390995063,0.390995063,1854,,,585,370,245,126,,,,,,,,,,
thaw_depth_6,1.015100553,1.015100553,0.932674735,0.932674735,0.366800704,0.366800704,0.345735932,0.345735932,1855,,mean 1880-1900,1.083593066,1.083593066,0.97338637,0.97338637,,,,,,,per decade,,,
thaw_depth_7,1.040411721,1.040411721,0.930457374,0.930457374,0.410781767,0.410781767,0.378925785,0.378925785,1856,,,,,,,,0.400738095,0.384674927,0.380924905,0.375748118,,0.036430736,0.034970448,0.034629537,0.03415892
thaw_depth_8,1.053347861,1.053347861,0.969495432,0.969495432,0.41553755,0.41553755,0.401285994,0.401285994,1857,,mean 2000-2020,1.484331161,1.468267993,1.354311275,1.349134488,,,,,,,,,,
thaw_depth_9,1.076853806,1.076853806,0.955028001,0.955028001,0.420837179,0.420837179,0.390281877,0.390281877,1858,,,,,,,,2.867630753,2.590860657,1.748805369,1.332207137,,,,,
thaw_depth_10,0.997706002,0.997706002,0.869014093,0.869014093,0.383689067,0.383689067,0.331269136,0.331269136,1859,,mean 2080-2100,3.951223819,3.674453723,2.722191739,2.305593506,,,,,,,,,,
thaw_depth_11,1.075516331,1.075516331,0.93759381,0.93759381,0.411156763,0.411156763,0.360038624,0.360038624,1860,,,,,,,,,,,,,,,,
thaw_depth_12,1.063392773,1.063392773,0.925315002,0.925315002,0.397595669,0.397595669,0.332775679,0.332775679,1861,,,,,,,,,,,,,,,,
thaw_depth_13,1.071135207,1.071135207,0.938774445,0.938774445,0.404603467,0.404603467,0.355722419,0.355722419,1862,,,,,,,,,,,,,,,,
thaw_depth_14,1.046612231,1.046612231,0.939808324,0.939808324,0.368543699,0.368543699,0.323704572,0.323704572,1863,,,,,,,,,,,,,,,,
thaw_depth_15,1.077723085,1.077723085,0.944380554,0.944380554,0.403119923,0.403119923,0.355431604,0.355431604,1864,,,,,,,,,,,,,,,,
thaw_depth_16,1.047814163,1.047814163,0.955023592,0.955023592,0.398906663,0.398906663,0.358352646,0.358352646,1865,,,,,,,,,,,,,,,,
