Year,mean_585,std_585,mean_370,std_370,mean_245,std_245,mean_126,std_126,TF
1850,11483.07042,4290.74304,11483.07042,4290.74304,10490.48153,4388.35161,10490.48153,3439.83767,NA
1851,11650.03511,4447.19259,11650.03511,4447.19259,10626.86196,4480.81,10626.86196,3512.31178,NA
1852,11489.70139,4395.46538,11489.70139,4395.46538,10559.82789,4463.84537,10559.82789,3499.01394,NA
1853,11925.45217,4706.78791,11925.45217,4706.78791,11170.69629,5047.68619,11170.69629,3956.66132,NA
1854,11640.43153,4838.8326,11640.43153,4838.8326,10741.5365,5068.18894,10741.5365,3972.73254,NA
1855,11750.09458,4502.28224,11750.09458,4502.28224,10992.62637,4748.26907,10992.62637,3721.96129,NA
1856,12100.0762,5011.68563,12100.0762,5011.68563,11048.61492,5131.26415,11048.61492,4022.17445,NA
1857,12340.54481,5130.39358,12340.54481,5130.39358,11464.93907,5388.32211,11464.93907,4223.67099,NA
1858,12426.4733,5208.39723,12426.4733,5208.39723,11278.66757,5307.57143,11278.66757,4160.37404,NA
1859,11541.38228,4654.87782,11541.38228,4654.87782,10283.05968,4497.91611,10283.05968,3525.7205,NA
1860,12217.93563,5092.32894,12217.93563,5092.32894,11019.79365,4967.64551,11019.79365,3893.92092,NA
1861,12079.58142,4899.85083,12079.58142,4899.85083,10735.55946,4572.58227,10735.55946,3584.24806,NA
1862,12339.49971,4949.86097,12339.49971,4949.86097,11060.36602,4829.68628,11060.36602,3785.78069,NA
1863,12091.26314,4620.43764,12091.26314,4620.43764,10963.2686,4611.8397,10963.2686,3615.02025,NA
1864,12360.11971,4875.67847,12360.11971,4875.67847,11237.45107,4963.42112,11237.45107,3890.6096,NA
1865,12153.71066,4824.38251,12153.71066,4824.38251,11148.12176,4872.84364,11148.12176,3819.60987,NA
1866,12155.28298,4752.85598,12155.28298,4752.85598,11195.76088,4888.02295,11195.76088,3831.50826,NA
1867,12143.785,4901.057,12143.785,4901.057,10964.31972,5015.73245,10964.31972,3931.61418,NA
1868,11984.04882,4542.80984,11984.04882,4542.80984,11161.74545,4710.49402,11161.74545,3692.35107,NA
1869,11814.37463,4583.86173,11814.37463,4583.86173,10632.24859,4395.93256,10632.24859,3445.78005,NA
1870,12166.02277,4848.09664,12166.02277,4848.09664,10898.89233,4727.17398,10898.89233,3705.42576,NA
1871,11742.78147,4668.50282,11742.78147,4668.50282,10760.98181,4777.25153,10760.98181,3744.67938,NA
1872,12339.83578,4832.9101,12339.83578,4832.9101,11214.33133,4838.29987,11214.33133,3792.53251,NA
1873,12494.83962,4917.81971,12494.83962,4917.81971,11405.64591,4946.28405,11405.64591,3877.1766,NA
1874,12137.52981,4805.32136,12137.52981,4805.32136,11092.31708,4860.50737,11092.31708,3809.94,NA
