Year,mean_585,std_585,mean_370,std_370,mean_245,std_245,mean_126,std_126,TF
1850,1.148307042,0.429074304,1.148307042,0.429074304,1.049048153,0.438835161,1.049048153,0.343983767,NA
1851,1.165003511,0.444719259,1.165003511,0.444719259,1.062686196,0.448081,1.062686196,0.351231178,NA
1852,1.148970139,0.439546538,1.148970139,0.439546538,1.055982789,0.446384537,1.055982789,0.349901394,NA
1853,1.192545217,0.470678791,1.192545217,0.470678791,1.117069629,0.504768619,1.117069629,0.395666132,NA
1854,1.164043153,0.48388326,1.164043153,0.48388326,1.07415365,0.506818894,1.07415365,0.397273254,NA
1855,1.175009458,0.450228224,1.175009458,0.450228224,1.099262637,0.474826907,1.099262637,0.372196129,NA
1856,1.21000762,0.501168563,1.21000762,0.501168563,1.104861492,0.513126415,1.104861492,0.402217445,NA
1857,1.234054481,0.513039358,1.234054481,0.513039358,1.146493907,0.538832211,1.146493907,0.422367099,NA
1858,1.24264733,0.520839723,1.24264733,0.520839723,1.127866757,0.530757143,1.127866757,0.416037404,NA
1859,1.154138228,0.465487782,1.154138228,0.465487782,1.028305968,0.449791611,1.028305968,0.35257205,NA
1860,1.221793563,0.509232894,1.221793563,0.509232894,1.101979365,0.496764551,1.101979365,0.389392092,NA
1861,1.207958142,0.489985083,1.207958142,0.489985083,1.073555946,0.457258227,1.073555946,0.358424806,NA
1862,1.233949971,0.494986097,1.233949971,0.494986097,1.106036602,0.482968628,1.106036602,0.378578069,NA
1863,1.209126314,0.462043764,1.209126314,0.462043764,1.09632686,0.46118397,1.09632686,0.361502025,NA
1864,1.236011971,0.487567847,1.236011971,0.487567847,1.123745107,0.496342112,1.123745107,0.38906096,NA
1865,1.215371066,0.482438251,1.215371066,0.482438251,1.114812176,0.487284364,1.114812176,0.381960987,NA
1866,1.215528298,0.475285598,1.215528298,0.475285598,1.119576088,0.488802295,1.119576088,0.383150826,NA
1867,1.2143785,0.4901057,1.2143785,0.4901057,1.096431972,0.501573245,1.096431972,0.393161418,NA
1868,1.198404882,0.454280984,1.198404882,0.454280984,1.116174545,0.471049402,1.116174545,0.369235107,NA
1869,1.181437463,0.458386173,1.181437463,0.458386173,1.063224859,0.439593256,1.063224859,0.344578005,NA
1870,1.216602277,0.484809664,1.216602277,0.484809664,1.089889233,0.472717398,1.089889233,0.370542576,NA
1871,1.174278147,0.466850282,1.174278147,0.466850282,1.076098181,0.477725153,1.076098181,0.374467938,NA
1872,1.233983578,0.48329101,1.233983578,0.48329101,1.121433133,0.483829987,1.121433133,0.379253251,NA
1873,1.249483962,0.491781971,1.249483962,0.491781971,1.140564591,0.494628405,1.140564591,0.38771766,NA
1874,1.213752981,0.480532136,1.213752981,0.480532136,1.109231708,0.486050737,1.109231708,0.380994,NA
1875,1.287301095,0.522988736,1.287301095,0.522988736,1.160170288,0.509648086,1.160170288,0.399490934,NA
1876,1.263172225,0.518791696,1.263172225,0.518791696,1.13816003,0.503236981,1.13816003,0.394465548,NA
1877,1.31524694,0.549790438,1.31524694,0.549790438,1.197920501,0.547603557,1.197920501,0.429242574,NA
1878,1.307091855,0.543475119,1.307091855,0.543475119,1.192943923,0.549813714,1.192943923,0.430975021,NA
1879,1.261038174,0.525144716,1.261038174,0.525144716,1.142793688,0.527234329,1.142793688,0.413276024,NA
1880,1.225989156,0.509130146,1.225989156,0.509130146,1.120137303,0.520712242,1.120137303,0.408163644,1880-1900
1881,1.287771558,0.542273878,1.287771558,0.542273878,1.15652276,0.538486913,1.15652276,0.422096434,1880-1900
1882,1.264580603,0.518029391,1.264580603,0.518029391,1.131556261,0.507407099,1.131556261,0.397734322,1880-1900
1883,1.292656525,0.530859446,1.292656525,0.530859446,1.169502103,0.530837946,1.169502103,0.416100743,1880-1900
