"","sum","Year"
"Thawed_N_1",16.4486266118007,1850
"Thawed_N_2",16.6638580342367,1851
"Thawed_N_3",16.563737620563,1852
"Thawed_N_4",17.5222942252553,1853
"Thawed_N_5",16.849925173063,1854
"Thawed_N_6",17.2407410764837,1855
"Thawed_N_7",17.3328706039371,1856
"Thawed_N_8",17.979731595331,1857
"Thawed_N_9",17.6931143725635,1858
"Thawed_N_10",16.1282518896843,1859
"Thawed_N_11",17.2840534031255,1860
"Thawed_N_12",16.8385627464077,1861
"Thawed_N_13",17.3513333003506,1862
"Thawed_N_14",17.1936773623031,1863
"Thawed_N_15",17.621490226065,1864
"Thawed_N_16",17.481518198204,1865
"Thawed_N_17",17.5606609113124,1866
"Thawed_N_18",17.1921209668796,1867
"Thawed_N_19",17.5041094500372,1868
"Thawed_N_20",16.6765860358481,1869
"Thawed_N_21",17.0895605225912,1870
"Thawed_N_22",16.8813125590519,1871
"Thawed_N_23",17.589260889665,1872
"Thawed_N_24",17.8842507184989,1873
"Thawed_N_25",17.3966649420694,1874
"Thawed_N_26",18.1970189716124,1875
"Thawed_N_27",17.8505520245756,1876
"Thawed_N_28",18.793426896359,1877
"Thawed_N_29",18.7142920830621,1878
"Thawed_N_30",17.9249792221309,1879
"Thawed_N_31",17.5596953914862,1880
"Thawed_N_32",18.1412696456729,1881
"Thawed_N_33",17.7450920456084,1882
"Thawed_N_34",18.3411891228814,1883
"Thawed_N_35",17.7865012562562,1884
"Thawed_N_36",17.2081121821486,1885
"Thawed_N_37",17.9111497122079,1886
"Thawed_N_38",17.0046548290488,1887
"Thawed_N_39",16.9128763524671,1888
"Thawed_N_40",17.8983565804345,1889
"Thawed_N_41",17.7107892122934,1890
"Thawed_N_42",16.9166550959459,1891
"Thawed_N_43",18.0604596741509,1892
"Thawed_N_44",18.0995121826124,1893
"Thawed_N_45",18.2875339670445,1894
"Thawed_N_46",17.8408042337394,1895
"Thawed_N_47",18.6734912946911,1896
"Thawed_N_48",17.8742775808563,1897
"Thawed_N_49",18.4509964849198,1898
"Thawed_N_50",18.2737313840647,1899
"Thawed_N_51",18.7513656425412,1900
"Thawed_N_52",18.7046322667985,1901
"Thawed_N_53",18.3647721082118,1902
"Thawed_N_54",17.1328880704662,1903
"Thawed_N_55",17.6753245580931,1904
"Thawed_N_56",18.3220789771289,1905
