"","sum"
"lyr1",2.5204417817456
"lyr2",2.49641606623231
"lyr3",2.45671320208886
"lyr4",2.57283279760584
"lyr5",2.60396282859147
"lyr6",2.67554130044427
"lyr7",2.6635506530875
"lyr8",2.72098217249776
"lyr9",2.57244665389392
"lyr10",2.77175596736347
"lyr11",2.68320580860164
"lyr12",2.63118865438693
"lyr13",2.57121808758065
"lyr14",2.7309719823022
"lyr15",2.61874695711005
"lyr16",2.68333093564198
"lyr17",2.80611919452054
"lyr18",2.65812654004623
"lyr19",2.69179697455748
"lyr20",2.67102355900224
"lyr21",2.72094459034616
"lyr22",2.5994223250667
"lyr23",2.73680123402283
"lyr24",2.69810352804238
"lyr25",2.74225734448064
"lyr26",2.74381884134676
"lyr27",2.78865397709084
"lyr28",2.66473894755742
"lyr29",2.69359140959716
"lyr30",2.62231134728547
"lyr31",2.66917647143307
"lyr32",2.78081918688544
"lyr33",2.70559143912854
"lyr34",2.68865194111243
"lyr35",2.7508009769043
"lyr36",2.80379392716221
"lyr37",2.67753237077032
"lyr38",2.74845725813257
"lyr39",2.77292292104144
"lyr40",2.69831187011732
"lyr41",2.70669564597748
"lyr42",2.76945722988533
"lyr43",2.84512237367266
"lyr44",2.75055950923673
"lyr45",2.74245074071107
"lyr46",2.73656973183689
"lyr47",2.6716585989695
"lyr48",2.75169393129551
"lyr49",2.75750012528441
"lyr50",2.73920203897262
"lyr51",2.597845861508
"lyr52",2.6412810082245
"lyr53",2.69630767207954
"lyr54",2.79252691367868
"lyr55",2.72895404053273
"lyr56",2.61883466358784
"lyr57",2.64345807344107
"lyr58",2.62272893035247
"lyr59",2.69833963068991
"lyr60",2.7441420871091
"lyr61",2.77385506234957
"lyr62",2.79907244669412
"lyr63",2.75656437540099
"lyr64",2.83100045206155
"lyr65",2.80480237154521
"lyr66",2.67788185406994
"lyr67",2.77385169226732
"lyr68",2.80066162135783
"lyr69",2.76378107883355
"lyr70",2.80191109398629
"lyr71",2.73451304073529
"lyr72",2.87191584067446
"lyr73",2.67196066468221
"lyr74",2.67757947149006
"lyr75",2.68271598125657
"lyr76",2.7188892298698
"lyr77",2.74251464330879
"lyr78",2.69744506443429
"lyr79",2.69863856197667
"lyr80",2.63101464061556
"lyr81",2.74541540290793
"lyr82",2.62451815910139
"lyr83",2.83542212992332
"lyr84",2.69190280786578
"lyr85",2.75928494664708
"lyr86",2.85071455287697
"lyr87",2.78134889508325
"lyr88",2.86190120055535
"lyr89",2.75995419007471
"lyr90",2.92382176777553
"lyr91",2.83111882623497
"lyr92",2.86260564425569
"lyr93",2.80752971611366
"lyr94",2.81173877043503
"lyr95",2.74813394239176
"lyr96",2.68159938462497
"lyr97",2.81735699029781
"lyr98",2.89507344982645
"lyr99",2.94144974463861
"lyr100",2.87415272821655
"lyr101",2.88670992575876
"lyr102",2.82546582564019
"lyr103",2.82046327158974
"lyr104",2.86941997158095
"lyr105",2.88105518727074
"lyr106",2.85560922973512
"lyr107",2.98676596421338
"lyr108",2.93189197237196
"lyr109",3.00649675715916
"lyr110",2.89362135542611
"lyr111",2.89136825277195
"lyr112",3.00409133155884
"lyr113",2.96345471561164
"lyr114",2.96449095843044
"lyr115",3.00953473607255
"lyr116",2.87418422742898
"lyr117",2.88408952690583
"lyr118",2.9356249912793
"lyr119",2.91919677661332
"lyr120",2.98099894911793
"lyr121",2.88870577486682
"lyr122",2.92880086475731
"lyr123",2.98065987193783
"lyr124",3.01766932779667
"lyr125",2.9417442091209
"lyr126",3.03376834283922
"lyr127",2.97815109648264
"lyr128",3.00088507533793
"lyr129",2.92832178317193
"lyr130",2.93407151280404
"lyr131",2.90902502787743
"lyr132",2.89448036198502
"lyr133",2.89366792603894
"lyr134",2.95658706271339
"lyr135",2.98640552898469
"lyr136",2.95911087297164
"lyr137",3.12983974913135
"lyr138",3.04352500664311
"lyr139",2.97161160641232
"lyr140",2.89665232022616
"lyr141",3.13739948124228
"lyr142",3.0908756067669
"lyr143",3.08298371474006
"lyr144",3.07528543869046
"lyr145",3.1032028904893
"lyr146",3.26524787629651
"lyr147",3.1533597067229
"lyr148",3.22585947070758
"lyr149",3.10158361054007
"lyr150",3.02581769500766
"lyr151",3.11363504013492
"lyr152",3.17446068762391
"lyr153",3.30853383696397
"lyr154",3.31623180418387
"lyr155",3.32383876010934
"lyr156",3.30544120418971
"lyr157",3.2351378882118
"lyr158",3.10478981718468
"lyr159",3.2325647283883
"lyr160",3.22269525437069
"lyr161",3.36907844936229
"lyr162",3.36078181485114
"lyr163",3.39142678590868
"lyr164",3.41281403472719
"lyr165",3.35778872539328
"lyr166",3.45601493906084
"lyr167",3.32311366715128
"lyr168",3.30021451297477
"lyr169",3.31795649341779
"lyr170",3.29627274552955
"lyr171",3.31048270514613
"lyr172",3.3776670150024
"lyr173",3.32134248158422
"lyr174",3.31728534184461
"lyr175",3.29268297206729
"lyr176",3.27073905505371
"lyr177",3.41171224303017
"lyr178",3.42927760225351
"lyr179",3.36109615394879
"lyr180",3.38766356551064
"lyr181",3.40958833682395
"lyr182",3.39641638699633
"lyr183",3.46283315157435
"lyr184",3.39751356940272
"lyr185",3.4188546789444
"lyr186",3.44499517351595
"lyr187",3.32948822130632
"lyr188",3.36310050995914
"lyr189",3.39347234494723
"lyr190",3.39409455924897
"lyr191",3.42325170244934
"lyr192",3.44974463318168
"lyr193",3.40075624407058
"lyr194",3.46884124105791
"lyr195",3.45492088121637
"lyr196",3.45162740620631
"lyr197",3.45055372156576
"lyr198",3.44539001400915
"lyr199",3.47391340600826
"lyr200",3.49415355955629
"lyr201",3.48739311063519
"lyr202",3.48008199142271
"lyr203",3.50022755285175
"lyr204",3.53128979790609
"lyr205",3.49724264450521
"lyr206",3.52636140760246
"lyr207",3.55740127223902
"lyr208",3.54146645680376
"lyr209",3.56147594036724
"lyr210",3.54563081278597
"lyr211",3.58657513518625
"lyr212",3.55659629798209
"lyr213",3.56205275278063
"lyr214",3.55141221587487
"lyr215",3.56205626747918
"lyr216",3.56971501352996
"lyr217",3.58383603533684
"lyr218",3.55893277811028
"lyr219",3.56292965018696
"lyr220",3.54831989266488
"lyr221",3.54336605138944
"lyr222",3.54776374136081
"lyr223",3.55366522138295
"lyr224",3.59338616366313
"lyr225",3.58280020851626
"lyr226",3.58916535143088
"lyr227",3.58999402015333
"lyr228",3.60680913604561
"lyr229",3.58591706563859
"lyr230",3.60937297186144
"lyr231",3.59551944999498
"lyr232",3.59862136828464
"lyr233",3.60882418151622
