"","sum"
"lyr1",2.42606834799939
"lyr2",2.53369041371564
"lyr3",2.58828492491549
"lyr4",3.9970496866813
"lyr5",3.90206810790777
"lyr6",3.81842921528367
"lyr7",4.14717490272739
"lyr8",3.59219314189421
"lyr9",3.55062205093037
"lyr10",2.62187437005532
"lyr11",2.32728864795205
"lyr12",2.94903273292761
"lyr13",2.94540433417187
"lyr14",3.11153200459213
"lyr15",2.33938214314165
"lyr16",3.15447488755361
"lyr17",2.94976623128582
"lyr18",3.19414740246285
"lyr19",2.96127687924721
"lyr20",2.56654002639239
"lyr21",3.47720507852613
"lyr22",2.87185060511345
"lyr23",2.27127526397345
"lyr24",2.72730903877735
"lyr25",2.07810382733849
"lyr26",2.71562027257951
"lyr27",2.91636129584921
"lyr28",4.07797209073309
"lyr29",3.47958982750491
"lyr30",3.01118342702447
"lyr31",3.55358759375192
"lyr32",3.55786525184397
"lyr33",2.56734080139348
"lyr34",3.54668604179212
"lyr35",2.45333824953739
"lyr36",2.70037454548233
"lyr37",3.21630103989225
"lyr38",2.62065235256168
"lyr39",3.34282616403637
"lyr40",2.79706528399293
"lyr41",2.61623497717726
"lyr42",2.29022771081451
"lyr43",2.78771088862053
"lyr44",2.63691317510945
"lyr45",2.65004429952544
"lyr46",2.02928592206128
"lyr47",1.93287921337657
"lyr48",2.40352425442742
"lyr49",3.49964397684818
"lyr50",3.06558723277367
"lyr51",4.30302567822936
"lyr52",3.94810103714267
"lyr53",3.60649016318157
"lyr54",4.20641347782502
"lyr55",4.21750507962762
"lyr56",4.2841354823796
"lyr57",3.90903576636035
"lyr58",2.23596146324363
"lyr59",2.82799715989226
"lyr60",2.8198413120297
"lyr61",2.3990592153589
"lyr62",2.8679080341238
"lyr63",2.14848482185919
"lyr64",2.58494214554672
"lyr65",2.44932434643371
"lyr66",2.44865365681625
"lyr67",2.27895528321232
"lyr68",2.70199971931035
"lyr69",3.95736116980486
"lyr70",4.06451690071485
"lyr71",1.88498637549037
"lyr72",3.08597373804447
"lyr73",1.89798071821168
"lyr74",2.70806618625556
"lyr75",3.38229903007059
"lyr76",3.07398110581994
"lyr77",3.00690467218897
"lyr78",3.32255042297115
"lyr79",3.60818611312534
"lyr80",3.21754570956096
"lyr81",3.25250011116794
"lyr82",3.61581752846347
"lyr83",3.57746104367656
"lyr84",3.31009109301564
"lyr85",3.30340644014347
"lyr86",3.49594413041658
"lyr87",3.66444443309121
"lyr88",3.45492353860569
"lyr89",3.56421461728225
"lyr90",3.55627471506986
"lyr91",3.67917782035493
"lyr92",3.38383928741913
"lyr93",3.44335222185309
"lyr94",3.22861278972806
"lyr95",3.39259851029751
"lyr96",3.66024646838611
"lyr97",3.28531682204273
"lyr98",3.04543664055648
"lyr99",3.47583497340102
"lyr100",3.43697627541068
"lyr101",3.49576615703886
"lyr102",3.1469327511424
"lyr103",3.37264620523978
"lyr104",3.46661286190365
"lyr105",3.62802626663368
"lyr106",3.39038475516898
"lyr107",3.02369764952885
"lyr108",3.45202670893944
"lyr109",3.29512392814241
"lyr110",3.49666460289634
"lyr111",3.57728908997751
"lyr112",3.30454540761286
"lyr113",3.36142243580958
"lyr114",3.62827252972588
"lyr115",3.76778652632964
"lyr116",3.59797192266953
"lyr117",3.3425033276621
"lyr118",3.42424203101465
"lyr119",3.62207815221372
"lyr120",3.80373514688851
"lyr121",3.61178368573209
"lyr122",3.69134044981064
"lyr123",3.71323940577201
"lyr124",2.95831850898095
"lyr125",3.51919386913474
"lyr126",3.37062066782729
"lyr127",3.52819855765595
"lyr128",3.41891997291012
"lyr129",3.51590500492525
"lyr130",3.42898193562483
"lyr131",3.40315766265937
"lyr132",4.25121898037416
"lyr133",3.95021945555233
"lyr134",3.41670697539748
"lyr135",3.28011235056496
"lyr136",3.64305765585629
"lyr137",3.69967258563182
"lyr138",3.53171994651625
"lyr139",3.61801004510766
"lyr140",3.80475897015623
"lyr141",3.72331836109729
"lyr142",3.30406342231051
"lyr143",3.35181360043643
"lyr144",3.40756323810461
"lyr145",3.93599494598046
"lyr146",4.31061336710271
"lyr147",4.46617513243795
"lyr148",4.3054281638919
"lyr149",4.1960964210634
"lyr150",4.34454460835925
"lyr151",4.73945443409419
"lyr152",4.23755326689451
"lyr153",4.53933487786343
"lyr154",4.60533478087892
"lyr155",4.75979906287844
"lyr156",4.39098468241877
"lyr157",4.72391822793661
"lyr158",4.73503218155457
"lyr159",4.68415730811199
"lyr160",4.71632791446457
"lyr161",4.63452303801526
"lyr162",4.83208127623655
"lyr163",4.6702953564951
"lyr164",4.67903259685121
"lyr165",4.61977064733129
"lyr166",4.7806928301693
"lyr167",4.840452016572
"lyr168",4.78617698616726
"lyr169",5.00199034734759
"lyr170",4.95751682245468
"lyr171",4.89089468580467
"lyr172",5.23349400413334
"lyr173",5.30903630021837
"lyr174",5.16615280357516
"lyr175",4.92919240991869
"lyr176",5.11924172240311
"lyr177",5.01371502859122
"lyr178",5.39939682356566
"lyr179",5.34288761036406
"lyr180",5.20808545910029
"lyr181",5.37997765565324
"lyr182",5.39838063343767
"lyr183",5.36431051505057
"lyr184",5.57519031311114
"lyr185",5.21506107900105
"lyr186",5.47114756957151
"lyr187",5.42200485965676
"lyr188",5.57859019043872
"lyr189",5.44177717287547
"lyr190",5.54810384159911
"lyr191",5.6595682019263
"lyr192",5.67735573951509
"lyr193",5.60782266692679
"lyr194",5.48821188452627
"lyr195",5.5220688307822
"lyr196",5.48791478015877
"lyr197",5.50356441113609
"lyr198",5.5814112779971
"lyr199",5.65326042266505
"lyr200",5.54954243279274
"lyr201",5.55965378164631
"lyr202",5.61496528163658
"lyr203",5.74977328993233
"lyr204",5.61987467279313
"lyr205",5.54732567401752
"lyr206",5.57469745477826
"lyr207",5.66232958526481
"lyr208",5.65800927383164
"lyr209",5.61322242301998
"lyr210",5.59931018538149
"lyr211",5.6185448330826
"lyr212",5.59086739117434
"lyr213",5.64108795920488
"lyr214",5.54054422505557
"lyr215",5.67182301611553
"lyr216",5.57638362895761
"lyr217",5.69213428081615
"lyr218",5.7309270227597
"lyr219",5.6045317046346
"lyr220",5.55635801032704
"lyr221",5.69398129800051
"lyr222",5.76980803421595
"lyr223",5.78734050562232
"lyr224",5.81859883827613
"lyr225",5.80885377852082
"lyr226",5.81101680948003
"lyr227",5.88493105834036
"lyr228",5.97145072492502
"lyr229",5.90422524608062
"lyr230",5.76354953704888
"lyr231",5.90057073354031
