"","sum"
"Thawed_N_1",1.04904815256521
"Thawed_N_2",1.06268619626439
"Thawed_N_3",1.05598278859253
"Thawed_N_4",1.11706962945143
"Thawed_N_5",1.07415365036299
"Thawed_N_6",1.09926263737428
"Thawed_N_7",1.10486149226568
"Thawed_N_8",1.1464939074842
"Thawed_N_9",1.12786675728932
"Thawed_N_10",1.02830596769712
"Thawed_N_11",1.10197936467676
"Thawed_N_12",1.07355594642545
"Thawed_N_13",1.1060366021673
"Thawed_N_14",1.09632686008636
"Thawed_N_15",1.12374510685608
"Thawed_N_16",1.11481217626092
"Thawed_N_17",1.11957608785818
"Thawed_N_18",1.09643197179347
"Thawed_N_19",1.11617454523027
"Thawed_N_20",1.06322485915989
"Thawed_N_21",1.089889233107
"Thawed_N_22",1.07609818147245
"Thawed_N_23",1.12143313307989
"Thawed_N_24",1.14056459107006
"Thawed_N_25",1.10923170785754
"Thawed_N_26",1.16017028831948
"Thawed_N_27",1.13816002968132
"Thawed_N_28",1.19792050136469
"Thawed_N_29",1.19294392273471
"Thawed_N_30",1.14279368822213
"Thawed_N_31",1.12013730261899
"Thawed_N_32",1.15652276046183
"Thawed_N_33",1.13155626136478
"Thawed_N_34",1.16950210273767
"Thawed_N_35",1.13413794695722
"Thawed_N_36",1.09730988710487
"Thawed_N_37",1.14204696620053
"Thawed_N_38",1.08424053401994
"Thawed_N_39",1.07845257843378
"Thawed_N_40",1.14127223524876
"Thawed_N_41",1.12899355305763
"Thawed_N_42",1.07879656966917
"Thawed_N_43",1.15103528836013
"Thawed_N_44",1.15384764179627
"Thawed_N_45",1.16617492576431
"Thawed_N_46",1.13729478276821
"Thawed_N_47",1.19039459510378
"Thawed_N_48",1.13925911441222
"Thawed_N_49",1.17614321804211
"Thawed_N_50",1.16502463582623
"Thawed_N_51",1.19486710688637
"Thawed_N_52",1.19228879751373
"Thawed_N_53",1.17077085782086
"Thawed_N_54",1.09249061894021
"Thawed_N_55",1.12701157536701
"Thawed_N_56",1.16786985595876
"Thawed_N_57",1.15026063326728
"Thawed_N_58",1.15578662778334
"Thawed_N_59",1.12493999823997
"Thawed_N_60",1.1843270767615
"Thawed_N_61",1.16419692479519
"Thawed_N_62",1.15061731585513
"Thawed_N_63",1.1174649701252
"Thawed_N_64",1.13406641981633
"Thawed_N_65",1.09190000792882
"Thawed_N_66",1.16972734528639
"Thawed_N_67",1.16443250145222
"Thawed_N_68",1.09920623310241
"Thawed_N_69",1.19295608331176
"Thawed_N_70",1.16979251132891
"Thawed_N_71",1.12150613559877
"Thawed_N_72",1.11601009570165
"Thawed_N_73",1.16392857858319
"Thawed_N_74",1.19924239539975
"Thawed_N_75",1.16540979860236
"Thawed_N_76",1.17594058927613
"Thawed_N_77",1.13020072871501
"Thawed_N_78",1.16676749180536
"Thawed_N_79",1.20803439510044
"Thawed_N_80",1.22101716477824
"Thawed_N_81",1.17654079216915
"Thawed_N_82",1.16172200358408
"Thawed_N_83",1.19979114441709
"Thawed_N_84",1.17283767223492
"Thawed_N_85",1.17547601518443
"Thawed_N_86",1.14330073389385
"Thawed_N_87",1.15658982922863
"Thawed_N_88",1.18982285557534
"Thawed_N_89",1.21367354671437
"Thawed_N_90",1.20150854161232
"Thawed_N_91",1.23215918939811
"Thawed_N_92",1.20970947978684
"Thawed_N_93",1.16111328786603
"Thawed_N_94",1.17567643381681
"Thawed_N_95",1.15771144929474
"Thawed_N_96",1.23943070125883
"Thawed_N_97",1.27973845777483
"Thawed_N_98",1.23912458127487
"Thawed_N_99",1.25255470999393
"Thawed_N_100",1.21422738901643
"Thawed_N_101",1.21157283824816
"Thawed_N_102",1.18926268615111
"Thawed_N_103",1.21703236901794
"Thawed_N_104",1.24182078171787
"Thawed_N_105",1.21418847142636
"Thawed_N_106",1.21705761127501
"Thawed_N_107",1.22317561260117
"Thawed_N_108",1.26848055770893
"Thawed_N_109",1.19630172708876
"Thawed_N_110",1.20860058232455
"Thawed_N_111",1.19717816445131
"Thawed_N_112",1.21290095000702
"Thawed_N_113",1.1990062581311
"Thawed_N_114",1.23873889263088
"Thawed_N_115",1.16881624934817
"Thawed_N_116",1.18948432438627
"Thawed_N_117",1.17611467694096
"Thawed_N_118",1.11620461631109
"Thawed_N_119",1.16414184956874
"Thawed_N_120",1.15386188314681
