"","sum"
"lyr1",1.02081149204275
"lyr2",1.02517697412256
"lyr3",1.03013378313714
"lyr4",1.10425329854602
"lyr5",1.00723759402696
"lyr6",1.05460136374888
"lyr7",1.04698706083558
"lyr8",1.10044988866093
"lyr9",1.06113778376458
"lyr10",0.97240495915921
"lyr11",1.05084211099266
"lyr12",1.00542790449578
"lyr13",1.0581112701395
"lyr14",1.06512958725706
"lyr15",1.08237320621464
"lyr16",1.09552584710807
"lyr17",1.08108030431407
"lyr18",1.05357508596413
"lyr19",1.07466780110183
"lyr20",1.01630618124794
"lyr21",1.03138309742152
"lyr22",1.01682796997493
"lyr23",1.07270840918159
"lyr24",1.07919600194804
"lyr25",1.04281134628347
"lyr26",1.10559875197276
"lyr27",1.07253568451302
"lyr28",1.1123855220038
"lyr29",1.10751376182651
"lyr30",1.09464453453197
"lyr31",1.0587817437061
"lyr32",1.07234606667951
"lyr33",1.07342970452016
"lyr34",1.09394400806511
"lyr35",1.09524730428879
"lyr36",1.06556195197186
"lyr37",1.08633881541025
"lyr38",1.03496585972836
"lyr39",1.03321368222629
"lyr40",1.08745043233728
"lyr41",1.0673935842767
"lyr42",1.04871170730637
"lyr43",1.08094864990629
"lyr44",1.08596702508027
"lyr45",1.10205620647444
"lyr46",1.05398374113342
"lyr47",1.12352373723156
"lyr48",1.09105583751564
"lyr49",1.11853894688396
"lyr50",1.09592103426682
"lyr51",1.13403949033795
"lyr52",1.11854318000796
"lyr53",1.07939535037473
"lyr54",1.03848894169246
"lyr55",1.07067885313897
"lyr56",1.09750119302467
"lyr57",1.09131430336646
"lyr58",1.09144634525985
"lyr59",1.05665414547329
"lyr60",1.13074677500645
"lyr61",1.08786578169161
"lyr62",1.068886458833
"lyr63",1.0222839927176
"lyr64",1.06581128567798
"lyr65",1.0067742743101
"lyr66",1.08828357636221
"lyr67",1.07382197567199
"lyr68",1.03499401992866
"lyr69",1.09537071093921
"lyr70",1.07459253035161
"lyr71",1.06615535481922
"lyr72",1.05154532408522
"lyr73",1.11014884430908
"lyr74",1.13502075552022
"lyr75",1.0974977893138
"lyr76",1.08618401088657
"lyr77",1.06749963193545
"lyr78",1.10561338750142
"lyr79",1.12387409470421
"lyr80",1.15002622808143
"lyr81",1.102252187731
"lyr82",1.10946739547527
"lyr83",1.12892457413738
"lyr84",1.10751521261176
"lyr85",1.09893706147355
"lyr86",1.08762735101293
"lyr87",1.09310427906351
"lyr88",1.09525453725236
"lyr89",1.13088835375521
"lyr90",1.09497264300011
"lyr91",1.13239810104757
"lyr92",1.1225482969453
"lyr93",1.07483809069711
"lyr94",1.09951929279407
"lyr95",1.07850027435154
"lyr96",1.14322595225999
"lyr97",1.17120434065883
"lyr98",1.13706461535168
"lyr99",1.136085835825
"lyr100",1.10209590589106
"lyr101",1.09305002951784
"lyr102",1.10562968994226
"lyr103",1.12233195217507
"lyr104",1.13704511784848
"lyr105",1.10406963732372
"lyr106",1.13000514630004
"lyr107",1.12658001584972
"lyr108",1.14299526759523
"lyr109",1.10952565349839
"lyr110",1.12754175298452
"lyr111",1.10963254875614
"lyr112",1.10517042635827
"lyr113",1.08320416109036
"lyr114",1.12876368380348
"lyr115",1.08203600351956
"lyr116",1.09554086408817
"lyr117",1.09520915125356
"lyr118",1.04455330635815
"lyr119",1.08222036631774
"lyr120",1.05262061570769
"lyr121",1.0665569597679
"lyr122",1.09737895349812
"lyr123",1.05917213122788
"lyr124",1.12488859039772
"lyr125",1.05993337190255
"lyr126",1.11911786109194
"lyr127",1.09052439998884
"lyr128",1.10205859432601
"lyr129",1.10500229949266
"lyr130",1.09997419460482
"lyr131",1.14645129621937
"lyr132",1.08071995646503
"lyr133",1.13509002128793
"lyr134",1.15567099210731
"lyr135",1.0966899698682
"lyr136",1.17172851120513
"lyr137",1.12753361430605
"lyr138",1.13963593718073
"lyr139",1.14167576917744
"lyr140",1.17160804147118
"lyr141",1.15861085650125
"lyr142",1.13767345963619
"lyr143",1.11795895490421
"lyr144",1.13912371437755
"lyr145",1.15598696574487
"lyr146",1.09674594851793
"lyr147",1.15214230372319
"lyr148",1.18491949815956
"lyr149",1.2017386381148
"lyr150",1.236878921036
"lyr151",1.21297092861674
"lyr152",1.241915874984
"lyr153",1.23229478550953
"lyr154",1.18697711296619
"lyr155",1.24223882737036
"lyr156",1.26897941676207
"lyr157",1.26151409524592
"lyr158",1.2867547524164
"lyr159",1.31376791635864
"lyr160",1.31601186386526
"lyr161",1.28406349957695
"lyr162",1.28119064919128
"lyr163",1.31512903163391
"lyr164",1.29160049826177
"lyr165",1.36295703357344
"lyr166",1.40473076396692
"lyr167",1.39901536559857
"lyr168",1.34343379905354
"lyr169",1.35488862246192
"lyr170",1.38524960973258
"lyr171",1.42517056591201
"lyr172",1.43795098691409
"lyr173",1.45657968696552
"lyr174",1.4695364333937
"lyr175",1.43519632534874
"lyr176",1.43855320052148
"lyr177",1.42809224441154
"lyr178",1.44909501735627
"lyr179",1.47800308732402
"lyr180",1.51335331488034
"lyr181",1.48300309737759
"lyr182",1.48060539293672
"lyr183",1.49811304131973
"lyr184",1.48997979032153
"lyr185",1.54283854561931
"lyr186",1.57823712582335
"lyr187",1.58700883234499
