"","sum","Year"
"lyr1",0.0957295153213021,1850
"lyr2",0.123985657487459,1851
"lyr3",0.121430322995172,1852
"lyr4",0.150159750905918,1853
"lyr5",0.143568426157226,1854
"lyr6",0.147266901552456,1855
"lyr7",0.172453542897189,1856
"lyr8",0.171197426199931,1857
"lyr9",0.198428355745149,1858
"lyr10",0.15202719913296,1859
"lyr11",0.14820684436786,1860
"lyr12",0.20114389688638,1861
"lyr13",0.174469556054392,1862
"lyr14",0.180628389966806,1863
"lyr15",0.177394096093088,1864
"lyr16",0.161756257225797,1865
"lyr17",0.170098533669843,1866
"lyr18",0.193214377876467,1867
"lyr19",0.173047047580251,1868
"lyr20",0.173203100890302,1869
"lyr21",0.182052702099808,1870
"lyr22",0.173253190004007,1871
"lyr23",0.196824528425319,1872
"lyr24",0.192235508003062,1873
"lyr25",0.157197691073297,1874
"lyr26",0.205917949543291,1875
"lyr27",0.196541195992765,1876
"lyr28",0.242929643807789,1877
"lyr29",0.22982284961226,1878
"lyr30",0.227836570749674,1879
"lyr31",0.185031289624377,1880
"lyr32",0.225256695799997,1881
"lyr33",0.225845018459943,1882
"lyr34",0.251810960600554,1883
"lyr35",0.204663502117199,1884
"lyr36",0.202840458656027,1885
"lyr37",0.244078023044372,1886
"lyr38",0.197801571583899,1887
"lyr39",0.217207981070501,1888
"lyr40",0.229105142187993,1889
"lyr41",0.225442734465414,1890
"lyr42",0.164209996373391,1891
"lyr43",0.220637052261512,1892
"lyr44",0.193127069849395,1893
"lyr45",0.196450197543551,1894
"lyr46",0.19093980822798,1895
"lyr47",0.211349024412706,1896
"lyr48",0.206550905167184,1897
"lyr49",0.181796392965293,1898
"lyr50",0.20388711162865,1899
"lyr51",0.200621149544396,1900
"lyr52",0.19041111602266,1901
"lyr53",0.212674831187219,1902
"lyr54",0.167166888609728,1903
"lyr55",0.181623065768048,1904
"lyr56",0.190257518522884,1905
"lyr57",0.20184350074699,1906
"lyr58",0.191176362708691,1907
"lyr59",0.196779932164962,1908
"lyr60",0.184921600609695,1909
"lyr61",0.197021021329853,1910
"lyr62",0.183693821366187,1911
"lyr63",0.17736564615177,1912
"lyr64",0.171090220654158,1913
"lyr65",0.154816461461659,1914
"lyr66",0.181852195977872,1915
"lyr67",0.166105789581083,1916
"lyr68",0.161792911372223,1917
"lyr69",0.175682049645903,1918
"lyr70",0.18705795190013,1919
"lyr71",0.180837944196666,1920
"lyr72",0.173018463728121,1921
"lyr73",0.199667900517109,1922
"lyr74",0.198225643700068,1923
"lyr75",0.194121861453984,1924
"lyr76",0.183954835185227,1925
"lyr77",0.181427304969031,1926
"lyr78",0.200446929569721,1927
"lyr79",0.226765563272144,1928
"lyr80",0.208009401892525,1929
"lyr81",0.195080351464557,1930
"lyr82",0.205908377824578,1931
"lyr83",0.22405669442204,1932
"lyr84",0.195879519007368,1933
"lyr85",0.201758297711536,1934
"lyr86",0.195407572506577,1935
"lyr87",0.200061966567567,1936
"lyr88",0.226164808841192,1937
"lyr89",0.218026027725368,1938
"lyr90",0.239278693537343,1939
"lyr91",0.244797864400124,1940
"lyr92",0.230116385664733,1941
"lyr93",0.229130724533029,1942
"lyr94",0.249358206040982,1943
"lyr95",0.223547726870777,1944
"lyr96",0.268517209119356,1945
"lyr97",0.257913901181412,1946
"lyr98",0.277297084477995,1947
"lyr99",0.219660318104496,1948
"lyr100",0.239427784353705,1949
"lyr101",0.245492915531441,1950
"lyr102",0.268084031991348,1951
"lyr103",0.289576485022898,1952
"lyr104",0.277627511671095,1953
"lyr105",0.266040873898738,1954
"lyr106",0.269349354398149,1955
"lyr107",0.2711524076497,1956
"lyr108",0.312935063108532,1957
"lyr109",0.267995519507462,1958
"lyr110",0.284044481668174,1959
"lyr111",0.303392555246851,1960
"lyr112",0.31189900766138,1961
"lyr113",0.277353717603852,1962
"lyr114",0.289981584458303,1963
"lyr115",0.282047540892834,1964
"lyr116",0.267200927411238,1965
"lyr117",0.246925157053683,1966
"lyr118",0.2321883815799,1967
"lyr119",0.242530986856618,1968
"lyr120",0.259228292644311,1969
"lyr121",0.252177786115006,1970
"lyr122",0.242920858923668,1971
"lyr123",0.229825269784829,1972
"lyr124",0.263909135801389,1973
"lyr125",0.241627963925874,1974
"lyr126",0.225616541249875,1975
"lyr127",0.242620945939778,1976
"lyr128",0.266397370528358,1977
"lyr129",0.255460350164952,1978
"lyr130",0.270727411593012,1979
"lyr131",0.285154723133657,1980
"lyr132",0.259732710525954,1981
"lyr133",0.249733733924371,1982
"lyr134",0.233317634940244,1983
"lyr135",0.231818726554677,1984
"lyr136",0.235523863857918,1985
"lyr137",0.252631317003721,1986
"lyr138",0.256331592022321,1987
"lyr139",0.24420163816324,1988
"lyr140",0.262558283575839,1989
"lyr141",0.299513723786317,1990
"lyr142",0.287412354731862,1991
"lyr143",0.263246860488729,1992
"lyr144",0.264134980367323,1993
"lyr145",0.281531163718497,1994
"lyr146",0.290266522028771,1995
"lyr147",0.337854284685808,1996
"lyr148",0.343805395306083,1997
"lyr149",0.377434131278988,1998
"lyr150",0.384002565184757,1999
"lyr151",0.40520610264607,2000
"lyr152",0.436951605450642,2001
"lyr153",0.437987778647932,2002
"lyr154",0.450605495137125,2003
"lyr155",0.483744356016249,2004
"lyr156",0.496026726140413,2005
"lyr157",0.563616049131513,2006
"lyr158",0.605363834193321,2007
"lyr159",0.6133637045436,2008
"lyr160",0.676917433872982,2009
"lyr161",0.663278070542682,2010
"lyr162",0.698093967644691,2011
"lyr163",0.695010559622353,2012
"lyr164",0.735101290952438,2013
"lyr165",0.811350439169184,2014
"lyr166",0.727809895555897,2015
"lyr167",0.696324295555013,2016
"lyr168",0.765887839687015,2017
"lyr169",0.784573125403159,2018
"lyr170",0.837292867757266,2019
"lyr171",0.910208660867287,2020
"lyr172",0.911440176288875,2021
"lyr173",0.916043184138538,2022
"lyr174",0.935206946673233,2023
"lyr175",0.99861178344555,2024
"lyr176",1.0072447897921,2025
"lyr177",1.00364983271146,2026
"lyr178",1.06753713363087,2027
"lyr179",1.12844409315066,2028
"lyr180",1.20306402508747,2029
"lyr181",1.19118615622329,2030
"lyr182",1.23341600869583,2031
"lyr183",1.28271026476766,2032
"lyr184",1.39699872137631,2033
"lyr185",1.34365382407511,2034
"lyr186",1.435465160977,2035
"lyr187",1.45023605415989,2036
"lyr188",1.48433843192755,2037
"lyr189",1.5897904488822,2038
"lyr190",1.54972912123359,2039
"lyr191",1.60543127402981,2040
"lyr192",1.68563485518655,2041
"lyr193",1.7496283405973,2042
"lyr194",1.74256270221618,2043
"lyr195",1.73701643063,2044
"lyr196",1.84611108871692,2045
"lyr197",1.84441458419124,2046
"lyr198",1.93094606071258,2047
"lyr199",1.98352325820442,2048
"lyr200",2.12718369715349,2049
"lyr201",2.17609436578789,2050
"lyr202",2.29733877959172,2051
"lyr203",2.24029277176778,2052
"lyr204",2.31169276127413,2053
"lyr205",2.39641245338684,2054
"lyr206",2.49047005162598,2055
"lyr207",2.55402202671047,2056
"lyr208",2.58061772667442,2057
"lyr209",2.63121614165075,2058
"lyr210",2.66497288973939,2059
"lyr211",2.685069669392,2060
"lyr212",2.71192132938697,2061
"lyr213",2.78174757709436,2062
"lyr214",2.82337432372309,2063
"lyr215",2.80981569677795,2064
"lyr216",2.88408687338896,2065
"lyr217",2.98484199143254,2066
"lyr218",3.05735110852379,2067
"lyr219",3.05878096972182,2068
"lyr220",3.07874003319815,2069
"lyr221",3.17889810701501,2070
"lyr222",3.25158508488537,2071
"lyr223",3.33355830682494,2072
"lyr224",3.35121854391361,2073
"lyr225",3.42840876059293,2074
"lyr226",3.43440226746354,2075
"lyr227",3.4670983449994,2076
"lyr228",3.49453260099716,2077
