"","sum","Year"
"Thawed_N_1",18.3997453308752,1850
"Thawed_N_2",18.6695292620152,1851
"Thawed_N_3",18.4127654346467,1852
"Thawed_N_4",19.1088450470695,1853
"Thawed_N_5",18.6540417743801,1854
"Thawed_N_6",18.8308838355638,1855
"Thawed_N_7",19.3927015716866,1856
"Thawed_N_8",19.7764957277051,1857
"Thawed_N_9",19.9126487307839,1858
"Thawed_N_10",18.4973052406036,1859
"Thawed_N_11",19.5797788000436,1860
"Thawed_N_12",19.3626583786269,1861
"Thawed_N_13",19.780442290032,1862
"Thawed_N_14",19.376902611593,1863
"Thawed_N_15",19.8156862874845,1864
"Thawed_N_16",19.4749153724582,1865
"Thawed_N_17",19.4791746944381,1866
"Thawed_N_18",19.4614600197573,1867
"Thawed_N_19",19.2057133397678,1868
"Thawed_N_20",18.9325260454412,1869
"Thawed_N_21",19.5018032133932,1870
"Thawed_N_22",18.8179862190793,1871
"Thawed_N_23",19.7749030719789,1872
"Thawed_N_24",20.0240670574428,1873
"Thawed_N_25",19.4510150737971,1874
"Thawed_N_26",20.6286099165749,1875
"Thawed_N_27",20.2438514774476,1876
"Thawed_N_28",21.0768169142836,1877
"Thawed_N_29",20.9459789623291,1878
"Thawed_N_30",20.2079757051567,1879
"Thawed_N_31",19.6450052928086,1880
"Thawed_N_32",20.6385815258875,1881
"Thawed_N_33",20.2661071989834,1882
"Thawed_N_34",20.7144818343281,1883
"Thawed_N_35",20.1394995514103,1884
"Thawed_N_36",19.7273640602058,1885
"Thawed_N_37",20.4397225437691,1886
"Thawed_N_38",19.376604580336,1887
"Thawed_N_39",19.4598779990657,1888
"Thawed_N_40",20.0805024157117,1889
"Thawed_N_41",20.181336891831,1890
"Thawed_N_42",19.0048774042735,1891
"Thawed_N_43",20.3559739111908,1892
"Thawed_N_44",20.1995861377318,1893
"Thawed_N_45",20.2431575109993,1894
"Thawed_N_46",19.8567686360602,1895
"Thawed_N_47",20.7130507459543,1896
"Thawed_N_48",20.201193577852,1897
"Thawed_N_49",20.3586835678861,1898
"Thawed_N_50",20.3699325267571,1899
"Thawed_N_51",20.8079994836084,1900
"Thawed_N_52",20.5148676545615,1901
"Thawed_N_53",20.3190144119871,1902
"Thawed_N_54",18.7967297676893,1903
"Thawed_N_55",19.5726942704384,1904
"Thawed_N_56",20.1275423301827,1905
"Thawed_N_57",20.0419209621768,1906
"Thawed_N_58",20.0019935967138,1907
"Thawed_N_59",19.8568300244152,1908
"Thawed_N_60",20.597906757326,1909
"Thawed_N_61",19.9567124616373,1910
"Thawed_N_62",19.9199319276191,1911
"Thawed_N_63",19.4341373047131,1912
"Thawed_N_64",19.4341983256306,1913
"Thawed_N_65",18.6628241485249,1914
"Thawed_N_66",19.8871881084579,1915
"Thawed_N_67",19.4940582337198,1916
"Thawed_N_68",18.9510232133991,1917
"Thawed_N_69",20.0402292355893,1918
"Thawed_N_70",19.9813768136085,1919
"Thawed_N_71",19.4922532786646,1920
"Thawed_N_72",19.2962968896305,1921
"Thawed_N_73",20.0498827313694,1922
"Thawed_N_74",20.4766871936627,1923
"Thawed_N_75",20.1132755297894,1924
"Thawed_N_76",20.365544614986,1925
"Thawed_N_77",20.1589235862992,1926
"Thawed_N_78",20.4538332111389,1927
"Thawed_N_79",20.966618863425,1928
"Thawed_N_80",20.9223442813802,1929
"Thawed_N_81",20.4058263509596,1930
"Thawed_N_82",20.2893384105115,1931
"Thawed_N_83",20.6552921381917,1932
"Thawed_N_84",20.2019798240339,1933
