"","sum"
"lyr1",2.38238326285403
"lyr2",2.31099125188231
"lyr3",2.45801379223924
"lyr4",1.91677213352496
"lyr5",2.43864800666832
"lyr6",2.32319421087296
"lyr7",2.66309977295132
"lyr8",2.31895266709136
"lyr9",1.76495220564843
"lyr10",2.4155665410641
"lyr11",2.61035691530015
"lyr12",2.56429343262359
"lyr13",2.21069012203245
"lyr14",2.36610605418909
"lyr15",2.28029596029848
"lyr16",2.69062690530049
"lyr17",2.82299279109277
"lyr18",2.41456715863692
"lyr19",2.30662152546178
"lyr20",2.57333224927394
"lyr21",2.6425138366028
"lyr22",2.27691000667584
"lyr23",2.43091625682665
"lyr24",2.75768498794738
"lyr25",2.79549496223788
"lyr26",2.64515484646986
"lyr27",2.52485943507676
"lyr28",2.3802748105394
"lyr29",2.51366213733124
"lyr30",2.2557924493415
"lyr31",2.57262727845394
"lyr32",2.7209598707101
"lyr33",2.68920833199001
"lyr34",2.57201192878422
"lyr35",2.73303109137563
"lyr36",2.70318045768685
"lyr37",3.02879177948374
"lyr38",2.90664073599778
"lyr39",2.98085986608111
"lyr40",2.7912529505996
"lyr41",2.79449023147039
"lyr42",3.05873280532098
"lyr43",2.71426873180418
"lyr44",3.06612615824007
"lyr45",2.83646106219215
"lyr46",2.64629887922893
"lyr47",2.57358651892225
"lyr48",2.60049420770774
"lyr49",2.63487189361131
"lyr50",2.62188059648591
"lyr51",2.60970511708406
"lyr52",2.66340018753992
"lyr53",2.69744719251905
"lyr54",2.56757053135449
"lyr55",2.59396844249747
"lyr56",2.71042157192925
"lyr57",2.61918352563819
"lyr58",2.84814188479032
"lyr59",2.77369307969415
"lyr60",2.90192800534551
"lyr61",3.10023158717696
"lyr62",2.6030066406984
"lyr63",2.75809985068948
"lyr64",2.93402053190975
"lyr65",2.90818281124139
"lyr66",2.42468816432778
"lyr67",2.85770482851534
"lyr68",2.7793607997585
"lyr69",2.27336258519977
"lyr70",2.73145243172686
"lyr71",2.46204075079936
"lyr72",2.42455278663642
"lyr73",2.34550389834249
"lyr74",2.15620289653356
"lyr75",2.22685612755488
"lyr76",2.42496874470619
"lyr77",2.62910137045506
"lyr78",2.42970293895452
"lyr79",2.60767640888956
"lyr80",2.45731744354785
"lyr81",2.42084894244787
"lyr82",2.47748313069586
"lyr83",2.77958087893759
"lyr84",2.60686941213449
"lyr85",2.78116801846694
"lyr86",2.71478340912779
"lyr87",2.87343851156708
"lyr88",2.78904916098293
"lyr89",2.50668175860437
"lyr90",2.34727710448825
"lyr91",2.34829692017721
"lyr92",2.51124050506603
"lyr93",2.44102841997579
"lyr94",2.51835155132492
"lyr95",2.29161024391155
"lyr96",2.20613904579698
"lyr97",2.25095504472898
"lyr98",2.53708540792482
"lyr99",2.73951250643789
"lyr100",2.73801794179171
"lyr101",3.07048506072353
"lyr102",2.75773595460445
"lyr103",2.53138132225185
"lyr104",2.8175732693884
"lyr105",2.83426388580928
"lyr106",2.61957557904332
"lyr107",2.70383362354702
"lyr108",2.54702841351591
"lyr109",3.0609176578738
"lyr110",2.84973953713502
"lyr111",2.69847826886556
"lyr112",3.01471965850952
"lyr113",2.85633748839403
"lyr114",2.81025413259534
"lyr115",3.03615821776252
"lyr116",2.77290357636068
"lyr117",3.18557224763001
"lyr118",2.79717120832133
"lyr119",3.03837664320922
"lyr120",2.83390702310724
"lyr121",2.90167092480557
"lyr122",3.09955646940024
"lyr123",2.98845464253822
"lyr124",2.77477334206076
"lyr125",2.90122633257735
"lyr126",2.94222427144628
"lyr127",3.11212822447103
"lyr128",2.65523439371673
"lyr129",2.48880901441022
"lyr130",2.50334388414225
"lyr131",2.61563892815453
"lyr132",2.78498855793359
"lyr133",2.87496328398932
"lyr134",2.94875183747507
"lyr135",2.62308273470711
"lyr136",2.60203755288831
"lyr137",2.95788300382884
"lyr138",2.71592423560557
"lyr139",2.55844844382322
"lyr140",2.84918992767098
"lyr141",2.78488444750547
"lyr142",2.90128087894945
"lyr143",2.76792794083116
"lyr144",2.75005038654344
"lyr145",2.92137916772111
"lyr146",2.74809870012665
"lyr147",2.78948746042685
"lyr148",2.54286084429055
"lyr149",2.70186669124048
"lyr150",2.80100736218179
"lyr151",2.65578225656066
"lyr152",2.65842902589866
"lyr153",2.7866310944398
"lyr154",2.87747553196622
"lyr155",2.95728213858824
"lyr156",2.90975763346525
"lyr157",2.75720839497131
"lyr158",2.82063112995052
"lyr159",2.89975168292438
"lyr160",2.69846726865722
"lyr161",2.75248877033163
"lyr162",2.82057412026376
"lyr163",2.94586435429731
"lyr164",3.0529226871221
"lyr165",3.03969120657403
"lyr166",2.90447626176744
"lyr167",3.1094197533786
"lyr168",3.00828329192671
"lyr169",3.03348790169995
"lyr170",3.11409318878238
"lyr171",3.21680058561723
"lyr172",3.07214379721945
"lyr173",3.09126290505463
"lyr174",2.97333001773389
"lyr175",3.06618130105686
"lyr176",3.02118341804204
"lyr177",3.15087476840464
"lyr178",3.30597259286267
"lyr179",3.07867780895343
"lyr180",3.07156801309592
"lyr181",3.11671365339696
"lyr182",3.06825842001866
