"","sum"
"lyr1",1.23731093219409
"lyr2",1.26386348782451
"lyr3",1.2413361984228
"lyr4",1.27482874927658
"lyr5",1.29561644486981
"lyr6",1.28800845541569
"lyr7",1.35529550023301
"lyr8",1.36608514440153
"lyr9",1.40471466373279
"lyr10",1.30457550347325
"lyr11",1.34792751026552
"lyr12",1.37870881434253
"lyr13",1.36713818915229
"lyr14",1.32864409376704
"lyr15",1.36867517708981
"lyr16",1.32147425632836
"lyr17",1.34628971064439
"lyr18",1.36409167618507
"lyr19",1.31933159495508
"lyr20",1.31897315752684
"lyr21",1.37893950777518
"lyr22",1.32066794610179
"lyr23",1.37792543734664
"lyr24",1.40901375522048
"lyr25",1.34733550626169
"lyr26",1.43511114692519
"lyr27",1.42571777775624
"lyr28",1.50071562704482
"lyr29",1.49070309835252
"lyr30",1.41450805151723
"lyr31",1.37205717785139
"lyr32",1.48392924996137
"lyr33",1.43076388033637
"lyr34",1.49103100266596
"lyr35",1.40678540507113
"lyr36",1.37335547573002
"lyr37",1.45275422890354
"lyr38",1.36043998780337
"lyr39",1.37152430874423
"lyr40",1.42977085466031
"lyr41",1.45326730842099
"lyr42",1.30882282579509
"lyr43",1.45112735471571
"lyr44",1.42635568672449
"lyr45",1.41815756984196
"lyr46",1.42499349705088
"lyr47",1.45102508359261
"lyr48",1.40511189756716
"lyr49",1.40887889320651
"lyr50",1.44839245863748
"lyr51",1.45977059914775
"lyr52",1.44641933864363
"lyr53",1.4635721952133
"lyr54",1.31101005293673
"lyr55",1.37604664350918
"lyr56",1.42688343496993
"lyr57",1.41272487965594
"lyr58",1.4036941647436
"lyr59",1.40675282518489
"lyr60",1.42141929544137
"lyr61",1.41018417565837
"lyr62",1.41900920810149
"lyr63",1.3972592838564
"lyr64",1.36859449944376
"lyr65",1.31261570319654
"lyr66",1.42628097127612
"lyr67",1.37177112261711
"lyr68",1.3256556755546
"lyr69",1.41886968280928
"lyr70",1.42650019116271
"lyr71",1.36784569562576
"lyr72",1.34545044836144
"lyr73",1.39904441068245
"lyr74",1.44130956045065
"lyr75",1.41575879586894
"lyr76",1.4441470944924
"lyr77",1.4176820831852
"lyr78",1.43063734488207
"lyr79",1.49805254354917
"lyr80",1.46994424050824
"lyr81",1.43845009730259
"lyr82",1.42567281379874
"lyr83",1.45741404148171
"lyr84",1.40412252011223
"lyr85",1.43329946637672
"lyr86",1.38192369981467
"lyr87",1.40429697146027
"lyr88",1.49593565035522
"lyr89",1.46218359671205
"lyr90",1.51859637987556
"lyr91",1.53643548213328
"lyr92",1.477094038444
"lyr93",1.46375237129745
"lyr94",1.47787190742666
"lyr95",1.44882477235367
"lyr96",1.5374369994184
"lyr97",1.54649660636223
"lyr98",1.54085266975303
"lyr99",1.52104307210673
"lyr100",1.52345877390636
"lyr101",1.5106579278812
"lyr102",1.50397345589341
"lyr103",1.52214843841032
"lyr104",1.5665103745637
"lyr105",1.55300621457151
"lyr106",1.54288898957639
"lyr107",1.55144677422548
"lyr108",1.60439215490154
"lyr109",1.51505350703942
"lyr110",1.53214181572684
"lyr111",1.53223094462405
"lyr112",1.58686402134971
"lyr113",1.54309692293391
"lyr114",1.60057951532037
"lyr115",1.48464552358874
"lyr116",1.51333110016838
"lyr117",1.46506321773053
"lyr118",1.40807673100623
"lyr119",1.44529587407368
"lyr120",1.4882037338168
"lyr121",1.49814744745269
"lyr122",1.44911790680093
"lyr123",1.42546121767675
"lyr124",1.51566215804348
"lyr125",1.42857394586943
"lyr126",1.4642251944654
"lyr127",1.5017799810914
"lyr128",1.56882893605264
"lyr129",1.5472250765991
"lyr130",1.53900290866609
"lyr131",1.54796841838095
"lyr132",1.52173245006824
"lyr133",1.49127939640291
"lyr134",1.49053952471548
"lyr135",1.47776709559347
"lyr136",1.53705852294325
"lyr137",1.58821959824626
"lyr138",1.56402841524044
"lyr139",1.53842113277919
"lyr140",1.57450808652197
"lyr141",1.58234600637555
"lyr142",1.59325501068433
"lyr143",1.56777209737035
"lyr144",1.60639368370602
"lyr145",1.57920231713749
"lyr146",1.5968717894546
"lyr147",1.74131732993424
"lyr148",1.71965508325545
"lyr149",1.73357716001162
"lyr150",1.7300176105274
"lyr151",1.81799587556629
"lyr152",1.82784485531542
"lyr153",1.88231730940135
"lyr154",1.87487343498171
"lyr155",1.94453445739551
"lyr156",1.95680358777618
"lyr157",2.06366686253023
"lyr158",2.10159584168176
"lyr159",2.14036928136625
"lyr160",2.15824801806433
"lyr161",2.19133545424681
"lyr162",2.21509394138528
"lyr163",2.21605915591807
"lyr164",2.22464681127063
"lyr165",2.33038608567121
"lyr166",2.25801258548135
"lyr167",2.22534757440509
"lyr168",2.32753572744208
"lyr169",2.36895153770171
"lyr170",2.36413529485906
"lyr171",2.47771673492654
"lyr172",2.48157235946212
"lyr173",2.48554464629631
"lyr174",2.5093667988344
"lyr175",2.62791074213078
"lyr176",2.60387185645914
"lyr177",2.62707364011205
"lyr178",2.66421221629026
"lyr179",2.74425734719418
"lyr180",2.8034748934683
"lyr181",2.84062532437353
"lyr182",2.85556494131172
"lyr183",2.85841513588329
"lyr184",2.91618400683143
"lyr185",2.91768932996157
"lyr186",2.98505950110259
"lyr187",2.98252901550971
"lyr188",3.0464397110223
"lyr189",3.07698270999092
"lyr190",3.10466939127469
"lyr191",3.12332219987679
"lyr192",3.13586405941305
"lyr193",3.15845652047773
"lyr194",3.1943414870799
"lyr195",3.21222535926939
"lyr196",3.24294048848496
"lyr197",3.26161906165058
