"","sum","Year"
"lyr1",1.174632264652,1851
"lyr2",1.18024750224468,1852
"lyr3",1.15990388090849,1853
"lyr4",1.17434498706825,1854
"lyr5",1.20244176099724,1855
"lyr6",1.19229836971409,1856
"lyr7",1.24533365311559,1857
"lyr8",1.26031950933599,1858
"lyr9",1.29193560890479,1859
"lyr10",1.20529708590694,1860
"lyr11",1.25563025133285,1861
"lyr12",1.25189947091275,1862
"lyr13",1.26073676713182,1863
"lyr14",1.2090973100259,1864
"lyr15",1.25843952083557,1865
"lyr16",1.21978459792668,1866
"lyr17",1.23745121452235,1867
"lyr18",1.24536861774584,1868
"lyr19",1.20861110308877,1869
"lyr20",1.20646707579801,1870
"lyr21",1.2638551171263,1871
"lyr22",1.2102448025246,1872
"lyr23",1.25469967518656,1873
"lyr24",1.29145826817059,1874
"lyr25",1.24895707748651,1875
"lyr26",1.31469471595581,1876
"lyr27",1.30734128572963,1877
"lyr28",1.35880669773447,1878
"lyr29",1.36080672897374,1879
"lyr30",1.28011052095566,1880
"lyr31",1.25624126790067,1881
"lyr32",1.34716722456478,1882
"lyr33",1.2911409246066,1883
"lyr34",1.34431811623054,1884
"lyr35",1.28160766911358,1885
"lyr36",1.24152374773574,1886
"lyr37",1.29980219410978,1887
"lyr38",1.2302488643672,1888
"lyr39",1.22630960632285,1889
"lyr40",1.28761943044852,1890
"lyr41",1.31634464166241,1891
"lyr42",1.19674640548959,1892
"lyr43",1.31853950742769,1893
"lyr44",1.30768113353988,1894
"lyr45",1.29664117267908,1895
"lyr46",1.30759770898253,1896
"lyr47",1.32881722829599,1897
"lyr48",1.27935210582541,1898
"lyr49",1.30057291033803,1899
"lyr50",1.32668539487256,1900
"lyr51",1.3463080636428,1901
"lyr52",1.33474297524645,1902
"lyr53",1.340529782045,1903
"lyr54",1.20135405922175,1904
"lyr55",1.26350487233961,1905
"lyr56",1.31341217188053,1906
"lyr57",1.2900339531818,1907
"lyr58",1.28914664346457,1908
"lyr59",1.28302024877036,1909
"lyr60",1.30625257274087,1910
"lyr61",1.29017509823755,1911
"lyr62",1.30728948009908,1912
"lyr63",1.28639936266612,1913
"lyr64",1.25982471975035,1914
"lyr65",1.21150715187001,1915
"lyr66",1.31859393281084,1916
"lyr67",1.26697387736489,1917
"lyr68",1.22115137804415,1918
"lyr69",1.31333820936045,1919
"lyr70",1.31442289473149,1920
"lyr71",1.25809819848743,1921
"lyr72",1.23299328692304,1922
"lyr73",1.27434168073283,1923
"lyr74",1.32919091266435,1924
"lyr75",1.30336357830508,1925
"lyr76",1.33897270521655,1926
"lyr77",1.30787922329621,1927
"lyr78",1.31470996007925,1928
"lyr79",1.36533100728442,1929
"lyr80",1.35301575065511,1930
"lyr81",1.32424827626457,1931
"lyr82",1.30502573324948,1932
"lyr83",1.32651253907111,1933
"lyr84",1.28859810699371,1934
"lyr85",1.31746336236975,1935
"lyr86",1.26107714290473,1936
"lyr87",1.28137738315487,1937
"lyr88",1.36265810148541,1938
"lyr89",1.33865202069967,1939
"lyr90",1.38580730483134,1940
"lyr91",1.40428659484178,1941
"lyr92",1.34407266330615,1942
"lyr93",1.33062786147255,1943
"lyr94",1.33141756636255,1944
"lyr95",1.31857833777996,1945
"lyr96",1.39289257194544,1946
"lyr97",1.40676575148114,1947
"lyr98",1.38724290771979,1948
"lyr99",1.39619086049258,1949
"lyr100",1.38823814544329,1950
"lyr101",1.36978403157395,1951
"lyr102",1.34971389698881,1952
