Year,barren,std_barren,taiga,std_taiga,tundra,std_tundra,wetlands,std_wetlands,total,std_total
1850,2.382383263,NA,1.17481778,0.403027863,2.668153781,2.48244846,2.295607502,2.117548399,1.237310932,0.545821095
1851,2.310991252,2.47652391,1.180808927,0.404212108,2.813573075,2.298596824,2.690838814,2.135427553,1.263863488,0.548868904
1852,2.458013792,NA,1.160174351,0.389588548,2.749508511,2.086328965,2.697926981,2.186398114,1.241336198,0.530316397
1853,1.916772134,0.92582689,1.174932144,0.430502426,2.791030035,2.021193126,3.836669703,3.910662965,1.274828749,0.59010037
1854,2.438648007,1.51080613,1.20272215,0.476019619,2.724293575,2.292821748,3.83555689,3.640886943,1.295616445,0.656968108
1855,2.323194211,2.42086748,1.192576394,0.420877789,2.725721533,2.28498771,3.754273163,3.774019346,1.288008455,0.57835108
1856,2.663099773,1.85563984,1.245956303,0.501269424,2.770790625,2.263946754,3.888209682,3.726053911,1.3552955,0.687748632
1857,2.318952667,NA,1.260919023,0.503422298,2.730357571,2.205600125,3.536410352,3.625544089,1.366085144,0.6883869
1858,1.764952206,1.94412053,1.292581559,0.513969588,2.627905913,2.321973309,3.454161711,3.717911854,1.404714664,0.707680356
1859,2.415566541,1.93130429,1.205890482,0.440253469,2.803451936,2.305151455,2.661840569,2.42782669,1.304575503,0.600098185
1860,2.610356915,1.66291655,1.256248427,0.490574872,2.739207757,2.12340559,2.625485737,3.114567574,1.34792751,0.666475045
1861,2.564293433,2.48045786,1.252357211,0.470357151,2.853570353,2.157915195,2.949129993,2.048597345,1.378708814,0.639824176
1862,2.210690122,2.20275134,1.260935882,0.474808658,2.748855412,2.218707759,2.831726191,2.318107212,1.367138189,0.646611461
1863,2.366106054,2.36340078,1.209379251,0.424774296,2.912826471,2.306974564,3.083310862,2.466308314,1.328644094,0.583554205
1864,2.28029596,2.50517825,1.258732968,0.468852146,2.783850441,2.122972801,2.708712246,2.397167585,1.368675177,0.638594706
1865,2.690626905,2.52188463,1.219977245,0.464619053,2.713610048,2.148210113,3.008486812,2.399878341,1.321474256,0.634874772
1866,2.822992791,2.12229389,1.237739767,0.460079957,2.827815515,2.20265296,3.037817119,2.535004111,1.346289711,0.630637683
1867,2.414567159,1.91412669,1.245659017,0.474824955,2.755150891,2.153343969,3.039019625,2.502666433,1.364091676,0.654177892
1868,2.306621525,2.14430222,1.208892931,0.413330617,2.77823252,2.180399595,2.967978611,2.482520578,1.319331595,0.565585047
1869,2.573332249,3.19045003,1.206748404,0.432578514,2.826204252,2.581574043,2.803998031,2.437828123,1.318973158,0.589334426
1870,2.642513837,1.96150701,1.264456312,0.470899582,2.838155971,2.277536676,3.213102337,2.415329891,1.378939508,0.643956305
1871,2.276910007,2.2654342,1.210667179,0.438138462,2.769021611,2.299978631,3.122579361,2.4543489,1.320667946,0.605912986
1872,2.430916257,2.28176199,1.255137567,0.448504888,2.83447954,2.215047706,2.946190862,2.429705838,1.377925437,0.613225666
1873,2.757684988,3.65696708,1.291759415,0.482132528,2.822023849,2.208792027,3.102512418,2.401534272,1.409013755,0.662385333
1874,2.795494962,1.93531653,1.249248313,0.447961823,2.761114694,2.232376254,2.580301269,2.738443264,1.347335506,0.614730082
1875,2.645154846,2.10543262,1.315352046,0.48712358,2.745423556,2.228506685,3.051578047,2.306269355,1.435111147,0.669113504
1876,2.524859435,2.60683715,1.307819298,0.502561703,2.806332124,2.298316678,3.02622229,2.259374723,1.425717778,0.691225697
1877,2.380274811,2.27590015,1.359123549,0.532219895,2.859945014,2.278445972,3.993054488,2.463399669,1.500715627,0.731334076
1878,2.513662137,2.25686569,1.361124046,0.540288865,2.76242891,2.243774439,3.439040345,2.341440907,1.490703098,0.740380906
1879,2.255792449,2.1247468,1.280409021,0.501772588,2.74622166,2.113545345,3.068856655,3.132625578,1.414508052,0.685946158
1880,2.572627278,5.01818443,1.256534202,0.482390679,2.800500776,2.310102135,3.499313899,2.524008318,1.372057178,0.66726167
1881,2.720959871,2.39626573,1.347481361,0.547290119,2.935419105,2.165380662,3.506880308,3.447861423,1.48392925,0.75439308
1882,2.689208332,2.1872789,1.291591534,0.485353302,2.895686499,2.276227687,2.990218911,2.505652538,1.43076388,0.668139955
1883,2.572011929,2.17338737,1.344530431,0.527846256,2.834109009,2.19844719,3.562610408,3.571959155,1.491031003,0.723133966
1884,2.733031091,2.28802397,1.282217309,0.492011937,2.81341015,2.272037512,3.016594962,2.484041337,1.406785405,0.678649681
1885,2.703180458,2.22430511,1.24211432,0.47522691,2.935689021,2.208822617,3.199298173,2.462230442,1.373355476,0.660290033
1886,3.028791779,2.50975896,1.300420489,0.531502813,2.959345001,2.229951764,3.225367712,2.400627042,1.452754229,0.730483968
1887,2.906640736,2.40938853,1.230678223,0.4582428,2.949205186,2.307431389,2.933844036,2.446401687,1.360439988,0.633173781
