"","sum","Year"
"Thawed_N_1",0.343983766574506,1850
"Thawed_N_2",0.351231177525146,1851
"Thawed_N_3",0.349901393948762,1852
"Thawed_N_4",0.395666132229198,1853
"Thawed_N_5",0.397273253756379,1854
"Thawed_N_6",0.372196129083071,1855
"Thawed_N_7",0.402217444849201,1856
"Thawed_N_8",0.422367098809812,1857
"Thawed_N_9",0.416037404077189,1858
"Thawed_N_10",0.352572050421326,1859
"Thawed_N_11",0.389392091949101,1860
"Thawed_N_12",0.358424805560807,1861
"Thawed_N_13",0.378578069214486,1862
"Thawed_N_14",0.361502025018956,1863
"Thawed_N_15",0.389060960418406,1864
"Thawed_N_16",0.381960986994739,1865
"Thawed_N_17",0.383150826274842,1866
"Thawed_N_18",0.393161418015747,1867
"Thawed_N_19",0.369235106997239,1868
"Thawed_N_20",0.344578004734474,1869
"Thawed_N_21",0.370542576484009,1870
"Thawed_N_22",0.374467937587802,1871
"Thawed_N_23",0.37925325095116,1872
"Thawed_N_24",0.387717660436138,1873
"Thawed_N_25",0.380993999849266,1874
"Thawed_N_26",0.399490934493613,1875
"Thawed_N_27",0.394465547871267,1876
"Thawed_N_28",0.42924257435619,1877
"Thawed_N_29",0.430975020614451,1878
"Thawed_N_30",0.413276024250188,1879
"Thawed_N_31",0.408163643817499,1880
"Thawed_N_32",0.42209643399127,1881
"Thawed_N_33",0.397734321703989,1882
"Thawed_N_34",0.416100742697187,1883
"Thawed_N_35",0.392619901737696,1884
"Thawed_N_36",0.375164513357072,1885
"Thawed_N_37",0.417279790894845,1886
"Thawed_N_38",0.376775484846289,1887
"Thawed_N_39",0.389581111457393,1888
"Thawed_N_40",0.400152238739205,1889
"Thawed_N_41",0.399434841894296,1890
"Thawed_N_42",0.366964779592647,1891
"Thawed_N_43",0.414790965497192,1892
"Thawed_N_44",0.412860243341246,1893
"Thawed_N_45",0.441930240035464,1894
"Thawed_N_46",0.39301232359558,1895
"Thawed_N_47",0.434848715874053,1896
"Thawed_N_48",0.417149365926295,1897
"Thawed_N_49",0.432666532087759,1898
"Thawed_N_50",0.439317773183203,1899
"Thawed_N_51",0.456985723997191,1900
"Thawed_N_52",0.45000851916345,1901
"Thawed_N_53",0.445712269329888,1902
"Thawed_N_54",0.400729784566603,1903
"Thawed_N_55",0.407756264899232,1904
"Thawed_N_56",0.437915111471748,1905
"Thawed_N_57",0.428165738979539,1906
"Thawed_N_58",0.414286934069017,1907
"Thawed_N_59",0.418988526039865,1908
"Thawed_N_60",0.435699697675704,1909
"Thawed_N_61",0.425978318199738,1910
"Thawed_N_62",0.42007929389619,1911
"Thawed_N_63",0.421667454017118,1912
"Thawed_N_64",0.418113337576318,1913
"Thawed_N_65",0.403317809495052,1914
"Thawed_N_66",0.420669636413546,1915
"Thawed_N_67",0.403564274372853,1916
"Thawed_N_68",0.373049740663635,1917
