"","Year","Total_Thawed_Nitrogen_Pg"
"1",1,5.42601153117056
"2",2,5.54033243584844
"3",3,5.51935638488164
"4",4,6.24125090945032
"5",5,6.26660169860329
"6",6,5.87103428854501
"7",7,6.34459153559217
"8",8,6.6624328565014
"9",9,6.56258803838681
"10",10,5.56148341011958
"11",11,6.14228398654623
"12",12,5.65380496701219
"13",13,5.97170322734157
"14",14,5.70234513049179
"15",15,6.13706070661713
"16",16,6.0250654864605
"17",17,6.04383405137962
"18",18,6.20174146300228
"19",19,5.82432702633385
"20",20,5.4353850639403
"21",21,5.84495109409879
"22",22,5.90686987249142
"23",23,5.98235356681925
"24",24,6.11587144740821
"25",25,6.00981219862637
"26",26,6.30158346932031
"27",27,6.22231285131127
"28",28,6.77088683957285
"29",29,6.79821450525914
"30",30,6.51902993989729
"31",31,6.43838707859094
"32",32,6.6581633805284
"33",33,6.27387459995355
"34",34,6.56358714391408
"35",35,6.19319956697538
"36",36,5.91785768216056
"37",37,6.5821854899349
"38",38,5.94326920074448
"39",39,6.14526558664272
"40",40,6.31201490478579
"41",41,6.30069866276756
"42",42,5.78851480531099
"43",43,6.54292667420294
"44",44,6.5124713978218
"45",45,6.97102250575542
"46",46,6.19938964259193
"47",47,6.8593183048836
"48",48,6.58012816208378
"49",49,6.82489646426747
"50",50,6.92981336554996
"51",51,7.2085082173551
"52",52,7.09844955307503
"53",53,7.03068036335471
"54",54,6.32112513213881
"55",55,6.43196106979964
"56",56,6.90768773242351
"57",57,6.75390080203664
"58",58,6.53497606546176
"59",59,6.60913913572151
"60",60,6.87274172051324
"61",61,6.71939635290837
"62",62,6.62634494466183
"63",63,6.65139663595329
"64",64,6.59533388339103
"65",65,6.361948724614
"66",66,6.63565702743368
"67",67,6.36583646990587
"68",68,5.88449918639587
"69",69,6.59572149102589
"70",70,6.58129847834723
"71",71,6.1135284080848
"72",72,6.43417101912816
"73",73,6.57951338557176
"74",74,7.38108059325094
"75",75,6.76549225551223
"76",76,6.91051780941141
"77",77,6.26218940858027
"78",78,6.80286255956137
"79",79,7.33538326546717
"80",80,6.93159310580712
"81",81,6.75863883828232
"82",82,6.62003828222715
"83",83,6.91174508968116
"84",84,6.56360298431255
"85",85,6.49423036043935
"86",86,6.32998102188884
"87",87,6.4427847442492
"88",88,6.40571473461016
"89",89,6.9119549400876
"90",90,6.90983944501845
"91",91,7.22999941637754
"92",92,6.91338319668267
"93",93,6.78710634418584
"94",94,6.66461545369953
"95",95,6.61700808443966
"96",96,7.61374720324272
"97",97,7.69245310652785
"98",98,7.23794562409208
"99",99,7.71134931413217
"100",100,7.32769070472346
"101",101,6.84289445564102
"102",102,6.95105676200562
"103",103,7.1989848040643
"104",104,7.42949669813745
"105",105,7.26749306747988
"106",106,7.3171123836595
"107",107,7.28246945959198
"108",108,7.69618133820112
"109",109,6.98982684144208
"110",110,7.19729407448545
"111",111,7.14970088231307
"112",112,7.0274191940729
"113",113,7.06289387510223
"114",114,7.4312912427593
"115",115,7.20250380289478
"116",116,6.97892025547603
"117",117,6.95791627492457
"118",118,6.1475045800285
"119",119,6.61334250922946
"120",120,7.15108094699912
"121",121,7.21315744043271
"122",122,6.49568275125714
"123",123,6.42295947808515
"124",124,6.8046714286661
"125",125,6.2787464656618
"126",126,6.57284811578577
"127",127,6.52346151721493
"128",128,6.83466747830019
"129",129,7.00075216038888
"130",130,7.03391175749411
"131",131,7.22263595931003
"132",132,7.25235157033566
"133",133,6.97967737795234
"134",134,6.82749178553169
