"","sum"
"lyr1",0.545821095322387
"lyr2",0.548868904167566
"lyr3",0.530316397474997
"lyr4",0.590100370392685
"lyr5",0.656968107663313
"lyr6",0.57835108035042
"lyr7",0.687748631728249
"lyr8",0.688386899744935
"lyr9",0.707680356052625
"lyr10",0.6000981849885
"lyr11",0.666475044590498
"lyr12",0.639824175919372
"lyr13",0.646611460742189
"lyr14",0.583554204953036
"lyr15",0.638594706304498
"lyr16",0.634874772252037
"lyr17",0.63063768347267
"lyr18",0.654177891773059
"lyr19",0.565585046985365
"lyr20",0.589334425595368
"lyr21",0.6439563050187
"lyr22",0.605912986288722
"lyr23",0.613225666399186
"lyr24",0.662385333416954
"lyr25",0.614730082097702
"lyr26",0.66911350374234
"lyr27",0.691225696902014
"lyr28",0.731334076323724
"lyr29",0.74038090637205
"lyr30",0.685946158223619
"lyr31",0.667261669627316
"lyr32",0.754393079534616
"lyr33",0.668139955095185
"lyr34",0.723133966182837
"lyr35",0.678649680761013
"lyr36",0.660290033318873
"lyr37",0.730483967560647
"lyr38",0.633173781368808
"lyr39",0.669515789324351
"lyr40",0.698745541752682
"lyr41",0.698556504024536
"lyr42",0.62601358203095
"lyr43",0.699932517569772
"lyr44",0.71651262133837
"lyr45",0.719761249877788
"lyr46",0.670893627558645
"lyr47",0.745555727745425
"lyr48",0.703944543770147
"lyr49",0.718624132007738
"lyr50",0.718634881173185
"lyr51",0.763745395054022
"lyr52",0.732341198286272
"lyr53",0.764299885098652
"lyr54",0.63174580101527
"lyr55",0.662391959730134
"lyr56",0.723032778620763
"lyr57",0.705356988233963
"lyr58",0.68146675388517
"lyr59",0.702529617162801
"lyr60",0.695895299941731
"lyr61",0.702743342905334
"lyr62",0.689468621880073
"lyr63",0.697853265800135
"lyr64",0.684514805942502
"lyr65",0.647474938881303
"lyr66",0.672885507906322
"lyr67",0.621673154404979
"lyr68",0.581092225033969
"lyr69",0.671269350810065
"lyr70",0.691182162522566
"lyr71",0.637252661434322
"lyr72",0.657939171672224
"lyr73",0.673162235618361
"lyr74",0.731476115326189
"lyr75",0.71302523697731
"lyr76",0.750501727424116
"lyr77",0.677208853000075
"lyr78",0.72615134695962
"lyr79",0.767324469057924
"lyr80",0.733992289578621
"lyr81",0.731580469368167
"lyr82",0.722507063947609
"lyr83",0.745346208004704
"lyr84",0.67931079036733
"lyr85",0.685183963064926
"lyr86",0.666427226573647
"lyr87",0.659608236446289
"lyr88",0.710899722196553
"lyr89",0.717717324718232
"lyr90",0.761204916188921
"lyr91",0.802459961026913
"lyr92",0.716898000512965
"lyr93",0.751539539618985
"lyr94",0.742482162371221
"lyr95",0.720037276425555
"lyr96",0.795569772378133
"lyr97",0.788669428738321
"lyr98",0.738629677875186
"lyr99",0.793004616684319
"lyr100",0.780704451713237
"lyr101",0.714382886916528
"lyr102",0.745403124335358
"lyr103",0.753964314567361
"lyr104",0.775711232611835
"lyr105",0.77023681236075
"lyr106",0.786585597991028
"lyr107",0.794291249728335
"lyr108",0.813896522932008
"lyr109",0.715199786954481
"lyr110",0.744671399903263
"lyr111",0.767731121360482
"lyr112",0.765085270499573
"lyr113",0.731106396433902
"lyr114",0.813115474352928
"lyr115",0.751319591757174
"lyr116",0.753744229058959
"lyr117",0.750967904968219
"lyr118",0.667609396615638
"lyr119",0.697217704905746
"lyr120",0.77804861351238
"lyr121",0.804919056510894
"lyr122",0.6861399102413
"lyr123",0.689658684000871
"lyr124",0.741239560133191
"lyr125",0.665262787704437
"lyr126",0.680404261064243
"lyr127",0.728144131332172
"lyr128",0.763876876923355
"lyr129",0.75038621548227
"lyr130",0.764708204024475
"lyr131",0.772701871744024
"lyr132",0.786834430416446
"lyr133",0.742048394832332
"lyr134",0.717687631649237
"lyr135",0.725055141605782
"lyr136",0.75962323447884
"lyr137",0.758607441334991
"lyr138",0.732650873349915
"lyr139",0.748035156820277
"lyr140",0.748246690889248
"lyr141",0.709058683920242
"lyr142",0.719748332546413
"lyr143",0.76333191323711
"lyr144",0.786886396199071
"lyr145",0.719881146309488
"lyr146",0.710911639093103
"lyr147",0.812321315587434
"lyr148",0.758695172962227
"lyr149",0.797476381447577
"lyr150",0.837987545911149
"lyr151",0.877440033698725
"lyr152",0.903936810187725
"lyr153",0.88428614310092
"lyr154",0.875964844541163
"lyr155",0.903909370660877
"lyr156",0.890931783991639
"lyr157",0.973126226736523
"lyr158",1.02844245436393
"lyr159",1.00606106796717
"lyr160",1.03466150918569
"lyr161",1.02575642316159
"lyr162",1.04989225193618
"lyr163",1.08463779456237
"lyr164",1.06008512026262
"lyr165",1.10861105115433
"lyr166",1.07392625240685
"lyr167",1.08800868553286
"lyr168",1.09147289732859
"lyr169",1.09834303131922
"lyr170",1.13567396903825
"lyr171",1.17224095963251
"lyr172",1.15772191644465
"lyr173",1.12133620826402
"lyr174",1.15012939506202
"lyr175",1.19624665890558
"lyr176",1.23583501773876
"lyr177",1.18368583134273
"lyr178",1.22536067956191
"lyr179",1.22793311726629
"lyr180",1.2658113297593
"lyr181",1.25539859384954
"lyr182",1.28022635033123
"lyr183",1.2821872243822
"lyr184",1.2966362589524
"lyr185",1.33211018813238
"lyr186",1.321096603574
"lyr187",1.30456970243915
"lyr188",1.29130735319499
"lyr189",1.33158275749189
"lyr190",1.29702244704486
"lyr191",1.38833909899224
"lyr192",1.42133618146975
"lyr193",1.40913609224215
"lyr194",1.38468713584229
"lyr195",1.41157441501678
"lyr196",1.40638941740392
"lyr197",1.41991890146275
"lyr198",1.3873155075704
"lyr199",1.45304927157397
"lyr200",1.38361325692266
"lyr201",1.42826790687581
"lyr202",1.37318048846441
"lyr203",1.47564013306719
"lyr204",1.487688552223
"lyr205",1.45332164056232
"lyr206",1.39728282922496
"lyr207",1.38514515190579
"lyr208",1.4554825480876
"lyr209",1.44987960064983
"lyr210",1.46236284553342
"lyr211",1.49610156270468
"lyr212",1.44456723367217
"lyr213",1.4161749481216
"lyr214",1.36506180566993
"lyr215",1.4658706068637
"lyr216",1.47238788204048
"lyr217",1.41877735755222
"lyr218",1.40103227593393
"lyr219",1.40470433307683
"lyr220",1.37762270538591
"lyr221",1.39725587613471
"lyr222",1.33866669758139
"lyr223",1.3864240801466
"lyr224",1.34054598031596
"lyr225",1.33422763671227
"lyr226",1.3296169641491
"lyr227",1.31800714000166
"lyr228",1.2390976227374
"lyr229",1.34084497359638
"lyr230",1.24050161471613
"lyr231",1.24439604493403
"lyr232",1.25359756757502
"lyr233",1.19666060832728
"lyr234",1.17533262469927
"lyr235",1.22387108911905
"lyr236",1.16960001421264
"lyr237",1.2364850084755
"lyr238",1.19612903851991
"lyr239",1.19061913272202
"lyr240",1.18330990358759
"lyr241",1.14181728400779
"lyr242",1.13021126105889
"lyr243",1.1384181233462
"lyr244",1.1740887146175
"lyr245",1.18182472434803
"lyr246",1.138407486618
"lyr247",1.13391209186001
"lyr248",1.04371595433852
"lyr249",1.09268802395901
"lyr250",1.0207940945957
"lyr251",1.04333037995685
