,std_total,std_taiga,std_barren,std_tundra,std_wetlands
lyr1,0.545821095,0.403027863,NA,2.48244846,2.117548399
lyr2,0.548868904,0.404212108,2.47652391,2.298596824,2.135427553
lyr3,0.530316397,0.389588548,NA,2.086328965,2.186398114
lyr4,0.59010037,0.430502426,0.925826886,2.021193126,3.910662965
lyr5,0.656968108,0.476019619,1.51080613,2.292821748,3.640886943
lyr6,0.57835108,0.420877789,2.42086748,2.28498771,3.774019346
lyr7,0.687748632,0.501269424,1.855639838,2.263946754,3.726053911
lyr8,0.6883869,0.503422298,NA,2.205600125,3.625544089
lyr9,0.707680356,0.513969588,1.944120525,2.321973309,3.717911854
lyr10,0.600098185,0.440253469,1.931304293,2.305151455,2.42782669
lyr11,0.666475045,0.490574872,1.662916552,2.12340559,3.114567574
lyr12,0.639824176,0.470357151,2.480457855,2.157915195,2.048597345
lyr13,0.646611461,0.474808658,2.20275134,2.218707759,2.318107212
lyr14,0.583554205,0.424774296,2.363400777,2.306974564,2.466308314
lyr15,0.638594706,0.468852146,2.505178247,2.122972801,2.397167585
lyr16,0.634874772,0.464619053,2.521884634,2.148210113,2.399878341
lyr17,0.630637683,0.460079957,2.122293892,2.20265296,2.535004111
lyr18,0.654177892,0.474824955,1.91412669,2.153343969,2.502666433
lyr19,0.565585047,0.413330617,2.144302215,2.180399595,2.482520578
lyr20,0.589334426,0.432578514,3.190450031,2.581574043,2.437828123
lyr21,0.643956305,0.470899582,1.961507008,2.277536676,2.415329891
lyr22,0.605912986,0.438138462,2.265434199,2.299978631,2.4543489
lyr23,0.613225666,0.448504888,2.281761986,2.215047706,2.429705838
lyr24,0.662385333,0.482132528,3.65696708,2.208792027,2.401534272
lyr25,0.614730082,0.447961823,1.935316531,2.232376254,2.738443264
lyr26,0.669113504,0.48712358,2.105432615,2.228506685,2.306269355
lyr27,0.691225697,0.502561703,2.606837153,2.298316678,2.259374723
lyr28,0.731334076,0.532219895,2.275900146,2.278445972,2.463399669
lyr29,0.740380906,0.540288865,2.256865693,2.243774439,2.341440907
lyr30,0.685946158,0.501772588,2.124746801,2.113545345,3.132625578
lyr31,0.66726167,0.482390679,5.018184434,2.310102135,2.524008318
lyr32,0.75439308,0.547290119,2.396265725,2.165380662,3.447861423
lyr33,0.668139955,0.485353302,2.187278905,2.276227687,2.505652538
lyr34,0.723133966,0.527846256,2.173387367,2.19844719,3.571959155
lyr35,0.678649681,0.492011937,2.288023968,2.272037512,2.484041337
lyr36,0.660290033,0.47522691,2.224305109,2.208822617,2.462230442
lyr37,0.730483968,0.531502813,2.509758964,2.229951764,2.400627042
lyr38,0.633173781,0.4582428,2.409388531,2.307431389,2.446401687
lyr39,0.669515789,0.4858561,2.211205089,2.251529923,3.048283117
lyr40,0.698745542,0.50893321,2.237707482,2.163731887,2.503894594
lyr41,0.698556504,0.505592703,2.063697982,2.285033658,3.050367688
lyr42,0.626013582,0.449942878,2.172526852,2.254274423,2.467818598
lyr43,0.699932518,0.512471964,2.272286766,2.262719113,2.374325824
lyr44,0.716512621,0.522648819,2.010642626,2.324281895,3.115639355
lyr45,0.71976125,0.52657983,2.12791991,2.1639528,2.568646718
lyr46,0.670893628,0.490024425,2.136121653,2.247542015,3.039289343
lyr47,0.745555728,0.547333049,2.073655357,2.1238343,2.585162394
lyr48,0.703944544,0.516499679,1.845813438,2.126822655,2.629415554
lyr49,0.718624132,0.52679749,2.068717694,2.166928001,2.679908697
lyr50,0.718634881,0.527685119,2.30693852,2.129239594,2.193484497
lyr51,0.763745395,0.558777827,1.93280068,2.2349251,3.547667786
lyr52,0.732341198,0.535418948,1.92091498,2.190429569,3.609407785
lyr53,0.764299885,0.555098653,1.968507742,2.290322196,3.684699313
lyr54,0.631745801,0.449553501,2.314924379,2.431481466,3.859422117
lyr55,0.66239196,0.481251928,2.08265578,2.338822404,3.924306507
lyr56,0.723032779,0.525392914,2.299169815,2.270852802,3.527840041
lyr57,0.705356988,0.511804,2.086485703,2.29424633,3.396410235
lyr58,0.681466754,0.496921027,2.143151007,2.316043369,2.44371674
lyr59,0.702529617,0.512360769,2.18000133,2.27125077,2.212567007
lyr60,0.6958953,0.510270095,2.359813304,2.225445841,2.549641219
lyr61,0.702743343,0.509434173,2.312728272,2.263878126,2.260835281
lyr62,0.689468622,0.503882217,2.209223211,2.228422448,3.002792061
lyr63,0.697853266,0.50934606,2.297773193,2.186046279,2.625323016
