Year,Total_126,STD_126,Total_245,STD_245,Total_585,STD_585,Total_370,STD_370,TF
1850,16.44862661,5.391805854,16.54772093,5.426011531,18.39974533,6.726010195,18.39974533,6.726010195,NA
1851,16.66385803,5.507710448,16.76284789,5.540332436,18.66952926,6.97256407,18.66952926,6.97256407,NA
1852,16.56373762,5.491227402,16.65710811,5.519356385,18.41276543,6.894454629,18.41276543,6.894454629,NA
1853,17.52229423,6.209857548,17.620694,6.241250909,19.10884505,7.381888023,19.10884505,7.381888023,NA
1854,16.84992517,6.239135222,16.9437359,6.266601699,18.65404177,7.587320105,18.65404177,7.587320105,NA
1855,17.24074108,5.846539337,17.3398059,5.871034289,18.83088384,7.060696712,18.83088384,7.060696712,NA
1856,17.3328706,6.321400318,17.42812243,6.344591536,19.39270157,7.861840585,19.39270157,7.861840585,NA
1857,17.9797316,6.631877934,18.08483355,6.662432857,19.77649573,8.044492757,19.77649573,8.044492757,NA
1858,17.69311437,6.530933334,17.79100825,6.562588038,19.91264873,8.169460062,19.91264873,8.169460062,NA
1859,16.12825189,5.528006683,16.220533,5.56148341,18.49730524,7.300038753,18.49730524,7.300038753,NA
1860,17.2840534,6.111959395,17.38265965,6.142283987,19.5797788,7.988085861,19.5797788,7.988085861,NA
1861,16.83856275,5.632376668,16.93430769,5.653804967,19.36265838,7.689124959,19.36265838,7.689124959,NA
1862,17.3513333,5.948522122,17.44665865,5.971703227,19.78044229,7.776826364,19.78044229,7.776826364,NA
1863,17.19367736,5.672945723,17.29349685,5.70234513,19.37690261,7.24588166,19.37690261,7.24588166,NA
1864,17.62149023,6.118436085,17.7259932,6.137060707,19.81568629,7.651471205,19.81568629,7.651471205,NA
1865,17.4815182,6.009205886,17.58508485,6.025065486,19.47491537,7.566826185,19.47491537,7.566826185,NA
1866,17.56066091,6.028860125,17.66023096,6.043834051,19.47917469,7.455078175,19.47917469,7.455078175,NA
1867,17.19212097,6.166462722,17.29515489,6.201741463,19.46146002,7.684367822,19.46146002,7.684367822,NA
1868,17.50410945,5.794901007,17.60657491,5.824327026,19.20571334,7.123796434,19.20571334,7.123796434,NA
1869,16.67658604,5.412563883,16.77134477,5.435385064,18.93252605,7.189559709,18.93252605,7.189559709,NA
1870,17.08956052,5.810835117,17.19194951,5.844951094,19.50180321,7.602902168,19.50180321,7.602902168,NA
1871,16.88131256,5.889011914,16.97440899,5.906869872,18.81798622,7.323257502,18.81798622,7.323257502,NA
1872,17.58926089,5.966916023,17.68952405,5.982353567,19.77490307,7.580520984,19.77490307,7.580520984,NA
1873,17.88425072,6.0992755,17.99130431,6.115871447,20.02406706,7.715838182,20.02406706,7.715838182,NA
1874,17.39666494,5.990709484,17.49705836,6.009812199,19.45101507,7.536238744,19.45101507,7.536238744,NA
1875,18.19701897,6.280146385,18.30056524,6.301583469,20.62860992,8.203100243,20.62860992,8.203100243,NA
1876,17.85055202,6.199879752,17.95337468,6.222312851,20.24385148,8.135221309,20.24385148,8.135221309,NA
1877,18.7934269,6.75401633,18.89603838,6.77088684,21.07681691,8.625923246,21.07681691,8.625923246,NA
1878,18.71429208,6.781483182,18.81753766,6.798214505,20.94597896,8.526356706,20.94597896,8.526356706,NA
1879,17.92497922,6.496419356,18.02646617,6.51902994,20.20797571,8.238403077,20.20797571,8.238403077,NA
1880,17.55969539,6.425379275,17.66908358,6.438387079,19.64500529,7.989590821,19.64500529,7.989590821,1880-1900
1881,18.14126965,6.633385904,18.24302902,6.658163381,20.63858153,8.504750397,20.63858153,8.504750397,1880-1900
1882,17.74509205,6.253270267,17.84920662,6.2738746,20.2661072,8.124797484,20.2661072,8.124797484,1880-1900
1883,18.34118912,6.54127962,18.4477656,6.563587144,20.71448183,8.326661445,20.71448183,8.326661445,1880-1900
1884,17.78650126,6.171851796,17.88993021,6.193199567,20.13949955,8.045184822,20.13949955,8.045184822,1880-1900
1885,17.20811218,5.900753761,17.30900315,5.917857682,19.72736406,7.846396463,19.72736406,7.846396463,1880-1900
1886,17.91114971,6.561166067,18.01468735,6.58218549,20.43972254,8.478327948,20.43972254,8.478327948,1880-1900
1887,17.00465483,5.926502342,17.10284674,5.943269201,19.37660458,7.754820187,19.37660458,7.754820187,1880-1900
1888,16.91287635,6.126758337,17.01154733,6.145265587,19.459878,8.11676056,19.459878,8.11676056,1880-1900
1889,17.89835658,6.292726478,18.00246672,6.312014905,20.08050242,8.167063187,20.08050242,8.167063187,1880-1900
1890,17.71078921,6.286662332,17.80878237,6.300698663,20.18133689,8.144024064,20.18133689,8.144024064,1880-1900
1891,16.9166551,5.774154738,17.01697346,5.788514805,19.0048774,7.425041097,19.0048774,7.425041097,1880-1900
1892,18.06045967,6.526187426,18.15646945,6.542926674,20.35597391,8.179780309,20.35597391,8.179780309,1880-1900
1893,18.09951218,6.492532846,18.2008316,6.512471398,20.19958614,8.190525768,20.19958614,8.190525768,1880-1900
1894,18.28753397,6.947453443,18.3952826,6.971022506,20.24315751,8.399989667,20.24315751,8.399989667,1880-1900
1895,17.84080423,6.180422355,17.93972625,6.199389643,19.85676864,7.757859009,19.85676864,7.757859009,1880-1900
1896,18.67349129,6.842417672,18.77732448,6.859318305,20.71305075,8.400759713,20.71305075,8.400759713,1880-1900
1897,17.87427758,6.562049835,17.97071168,6.580128162,20.20119358,8.359384605,20.20119358,8.359384605,1880-1900
1898,18.45099648,6.808398557,18.55252277,6.824896464,20.35868357,8.261421694,20.35868357,8.261421694,1880-1900
1899,18.27373138,6.908512499,18.37713788,6.929813366,20.36993253,8.353210147,20.36993253,8.353210147,1880-1900
1900,18.75136564,7.189081452,18.84787403,7.208508217,20.80799948,8.65047907,20.80799948,8.65047907,1880-1900
1901,18.70463227,7.076396508,18.80720369,7.098449553,20.51486765,8.430890285,20.51486765,8.430890285,NA
1902,18.36477211,7.007534226,18.46777898,7.030680363,20.31901441,8.487053931,20.31901441,8.487053931,NA
1903,17.13288807,6.302909711,17.23298386,6.321125132,18.79672977,7.500760964,18.79672977,7.500760964,NA
1904,17.67532456,6.414734243,17.77751859,6.43196107,19.57269427,7.798660678,19.57269427,7.798660678,NA
1905,18.32207898,6.888907012,18.42201848,6.907687732,20.12754233,8.124931649,20.12754233,8.124931649,NA
1906,18.04361035,6.734218619,18.14425001,6.753900802,20.04192096,8.112958913,20.04192096,8.112958913,NA
1907,18.13133686,6.512974042,18.23141723,6.534976065,20.0019936,7.852234403,20.0019936,7.852234403,NA
1908,17.64012156,6.588238568,17.74484146,6.609139136,19.85683002,8.149389709,19.85683002,8.149389709,NA
1909,18.57621173,6.857756126,18.68161524,6.872741721,20.59790676,8.299639838,20.59790676,8.299639838,NA
1910,18.25899594,6.699369249,18.36408154,6.719396353,19.95671246,8.054784363,19.95671246,8.054784363,NA
1911,18.04926291,6.607419455,18.14987633,6.626344945,19.91993193,7.905225909,19.91993193,7.905225909,NA
1912,17.52956133,6.630034651,17.62693011,6.651396636,19.4341373,7.923825706,19.4341373,7.923825706,NA
1913,17.78646244,6.571370138,17.88880194,6.595333883,19.43419833,7.753730633,19.43419833,7.753730633,NA
1914,17.12861882,6.34687906,17.22366754,6.361948725,18.66282415,7.426170699,18.66282415,7.426170699,NA
1915,18.3438091,6.614645107,18.45131858,6.635657027,19.88718811,7.690714643,19.88718811,7.690714643,NA
1916,18.2699407,6.353807909,18.36779754,6.36583647,19.49405823,7.391050008,19.49405823,7.391050008,NA
1917,17.24188108,5.869466003,17.33891618,5.884499186,18.95102321,7.079364363,18.95102321,7.079364363,NA
1918,18.70477329,6.591319462,18.81772948,6.595721491,20.04022924,7.664106902,20.04022924,7.664106902,NA
1919,18.34876224,6.557004123,18.45234651,6.581298478,19.98137681,7.692199769,19.98137681,7.692199769,NA
1920,17.59302723,6.09667734,17.69067559,6.113528408,19.49225328,7.376731226,19.49225328,7.376731226,NA
1921,17.50778532,6.414852752,17.60398088,6.434171019,19.29629689,7.667535684,19.29629689,7.667535684,NA
1922,18.26131753,6.561428092,18.35984864,6.579513386,20.04988273,7.844386567,20.04988273,7.844386567,NA
1923,18.81673219,7.361248728,18.91688998,7.381080593,20.47668719,8.446651,20.47668719,8.446651,NA
1924,18.28314351,6.740001488,18.38321345,6.765492256,20.11327553,8.076026602,20.11327553,8.076026602,NA
1925,18.44576551,6.889715385,18.5493265,6.910517809,20.36554461,8.291064112,20.36554461,8.291064112,NA
1926,17.7361657,6.253115534,17.8278244,6.262189409,20.15892359,7.956972746,20.15892359,7.956972746,NA
1927,18.30389004,6.77984415,18.40462975,6.80286256,20.45383321,8.404526181,20.45383321,8.404526181,NA
1928,18.95561113,7.314082153,19.05557528,7.335383265,20.96661886,8.71674227,20.96661886,8.71674227,NA
1929,19.15155493,6.914987232,19.26036592,6.931593106,20.92234428,8.308500915,20.92234428,8.308500915,NA
1930,18.45793328,6.738743704,18.55879412,6.758638838,20.40582635,8.176193293,20.40582635,8.176193293,NA
1931,18.22082989,6.59962885,18.32504205,6.620038282,20.28933841,8.20229347,20.28933841,8.20229347,NA
1932,18.8180506,6.891043475,18.92554596,6.91174509,20.65529214,8.401963786,20.65529214,8.401963786,NA
1933,18.39891026,6.547376432,18.50038098,6.563602984,20.20197982,8.017865334,20.20197982,8.017865334,NA
1934,18.43279739,6.469516259,18.54199829,6.49423036,20.38505699,8.189386214,20.38505699,8.189386214,NA
1935,17.92884157,6.308491393,18.03446432,6.329981022,19.81131068,7.993057617,19.81131068,7.993057617,NA
1936,18.14064425,6.424005208,18.24408696,6.442784744,19.94685301,7.849388762,19.94685301,7.849388762,NA
1937,18.66414331,6.392366366,18.76830584,6.405714735,20.70398751,8.025670893,20.70398751,8.025670893,NA
1938,19.03484933,6.890706801,19.14452744,6.91195494,20.62936833,8.378059421,20.62936833,8.378059421,NA
1939,18.85063836,6.89280363,18.95263624,6.909839445,20.99064388,8.760534184,20.99064388,8.760534184,NA
1940,19.32516405,7.204845966,19.4361206,7.229999416,21.29560411,8.923618889,21.29560411,8.923618889,NA
1941,18.97500623,6.886205764,19.08199812,6.913383197,20.6418364,8.259955512,20.6418364,8.259955512,NA
1942,18.2153496,6.766046009,18.31544015,6.787106344,20.30664632,8.441843949,20.30664632,8.441843949,NA
1943,18.43780618,6.642796786,18.5451597,6.664615454,20.6010224,8.352287375,20.6010224,8.352287375,NA
1944,18.15678726,6.60053195,18.26177943,6.617008084,20.29634738,8.296831353,20.29634738,8.296831353,NA
1945,19.43443699,7.58637112,19.55082167,7.613747203,21.34291201,9.022204743,21.34291201,9.022204743,NA
1946,20.06722766,7.662947209,20.18663758,7.692453107,21.54428527,8.944042393,21.54428527,8.944042393,NA
1947,19.43367704,7.215204107,19.54599292,7.237945624,21.31163156,8.775431313,21.31163156,8.775431313,NA
1948,19.6493828,7.684102571,19.75784022,7.711349314,21.08735559,8.840092018,21.08735559,8.840092018,NA
1949,19.04482069,7.301241998,19.15326377,7.327690705,20.98340069,8.744397628,20.98340069,8.744397628,NA
1950,19.00808709,6.821314969,19.1113908,6.842894456,20.76339043,8.282953602,20.76339043,8.282953602,NA
1951,18.65877933,6.935919754,18.75946971,6.951056762,20.88898417,8.627608995,20.88898417,8.627608995,NA
1952,19.09123626,7.174464803,19.19750962,7.198984804,21.1159086,8.813620037,21.1159086,8.813620037,NA
1953,19.48168671,7.406244481,19.58852288,7.429496698,21.60558697,9.070655593,21.60558697,9.070655593,NA
1954,19.04433932,7.245858122,19.15264988,7.267493067,21.24054157,8.963339548,21.24054157,8.963339548,NA
1955,19.08776837,7.290584838,19.19790779,7.317112384,21.30513842,8.983043841,21.30513842,8.983043841,NA
