Year,mean_126,std_126,mean_245,std_245,mean_370,std_370,mean_585,std_585,TF
1850,1.020811492,0.416329743,1.020811492,0.416329743,1.106059852,0.476006698,1.106059852,0.476784207,NA
1851,1.025176974,0.412837274,1.025176974,0.412837274,1.123093705,0.504621848,1.123093705,0.506381639,NA
1852,1.030133783,0.428074112,1.030133783,0.428074112,1.112391675,0.506567477,1.112391675,0.508967915,NA
1853,1.104253299,0.470504645,1.104253299,0.470504645,1.171107919,0.528010267,1.171107919,0.533147382,NA
1854,1.007237594,0.435439602,1.007237594,0.435439602,1.100739705,0.509509963,1.100739705,0.517994096,NA
1855,1.054601364,0.433287816,1.054601364,0.433287816,1.129454732,0.49574928,1.129454732,0.501703724,NA
1856,1.046987061,0.450029288,1.046987061,0.450029288,1.143753647,0.523455363,1.143753647,0.530148092,NA
1857,1.100449889,0.474106257,1.100449889,0.474106257,1.176831167,0.546103634,1.176831167,0.551326075,NA
1858,1.061137784,0.470497182,1.061137784,0.470497182,1.165175262,0.548813541,1.165175262,0.557239659,NA
1859,0.972404959,0.423156047,0.972404959,0.423156047,1.078447054,0.511763521,1.078447054,0.515128303,NA
1860,1.050842111,0.449963885,1.050842111,0.449963885,1.162509959,0.552943626,1.162509959,0.555328948,NA
1861,1.005427904,0.407088743,1.005427904,0.407088743,1.122519617,0.532777044,1.122519617,0.535587543,NA
1862,1.05811127,0.437639703,1.05811127,0.437639703,1.173043142,0.538638288,1.173043142,0.542016554,NA
1863,1.065129587,0.430538273,1.065129587,0.430538273,1.160156799,0.515500587,1.160156799,0.521691473,NA
1864,1.082373206,0.453575737,1.082373206,0.453575737,1.174281794,0.529428415,1.174281794,0.532702291,NA
1865,1.095525847,0.448917439,1.095525847,0.448917439,1.174641267,0.522655411,1.174641267,0.5271895,NA
1866,1.081080304,0.444930343,1.081080304,0.444930343,1.154697523,0.512014241,1.154697523,0.51776057,NA
1867,1.053575086,0.458566518,1.053575086,0.458566518,1.143922428,0.523683479,1.143922428,0.531905456,NA
1868,1.074667801,0.436227199,1.074667801,0.436227199,1.149035223,0.512161544,1.149035223,0.516574685,NA
1869,1.016306181,0.399451754,1.016306181,0.399451754,1.119510766,0.50478688,1.119510766,0.507339661,NA
1870,1.031383097,0.425671244,1.031383097,0.425671244,1.134001369,0.521098991,1.134001369,0.526195755,NA
1871,1.01682797,0.431061558,1.01682797,0.431061558,1.103988204,0.510931807,1.103988204,0.519474827,NA
1872,1.072708409,0.446023027,1.072708409,0.446023027,1.16829636,0.538638953,1.16829636,0.542885346,NA
1873,1.079196002,0.43526311,1.079196002,0.43526311,1.167605033,0.522016465,1.167605033,0.528892322,NA
1874,1.042811346,0.437872486,1.042811346,0.437872486,1.149342775,0.531786046,1.149342775,0.53732905,NA
1875,1.105598752,0.467874008,1.105598752,0.467874008,1.219591576,0.577453437,1.219591576,0.584205893,NA
1876,1.072535685,0.444471301,1.072535685,0.444471301,1.18410936,0.55597306,1.18410936,0.563670826,NA
1877,1.112385522,0.476737604,1.112385522,0.476737604,1.218369328,0.588988962,1.218369328,0.596478658,NA
1878,1.107513762,0.474430703,1.107513762,0.474430703,1.210645013,0.570748291,1.210645013,0.577676636,NA
1879,1.094644535,0.480782945,1.094644535,0.480782945,1.195773514,0.571557217,1.195773514,0.576423852,NA
1880,1.058781744,0.469785219,1.058781744,0.469785219,1.157694243,0.553632307,1.157694243,0.562581736,1880-1900
1881,1.072346067,0.463236541,1.072346067,0.463236541,1.180226889,0.558978891,1.180226889,0.568886129,1880-1900
1882,1.073429705,0.471171158,1.073429705,0.471171158,1.186497833,0.568462145,1.186497833,0.576352144,1880-1900
1883,1.093944008,0.465761435,1.093944008,0.465761435,1.190509527,0.55799926,1.190509527,0.564567464,1880-1900
1884,1.095247304,0.461027528,1.095247304,0.461027528,1.190152182,0.552246463,1.190152182,0.56133727,1880-1900
1885,1.065561952,0.451244496,1.065561952,0.451244496,1.171186849,0.539707546,1.171186849,0.551580389,1880-1900
1886,1.086338815,0.477572285,1.086338815,0.477572285,1.19099282,0.571728646,1.19099282,0.580091366,1880-1900
1887,1.03496586,0.450488536,1.03496586,0.450488536,1.138754492,0.547162004,1.138754492,0.556209873,1880-1900
1888,1.033213682,0.459935573,1.033213682,0.459935573,1.145423112,0.567350341,1.145423112,0.575826,1880-1900
1889,1.087450432,0.473410806,1.087450432,0.473410806,1.167302701,0.554117141,1.167302701,0.56152527,1880-1900
1890,1.067393584,0.47691302,1.067393584,0.47691302,1.156187763,0.55141137,1.156187763,0.560227375,1880-1900
1891,1.048711707,0.431749233,1.048711707,0.431749233,1.134033264,0.510678181,1.134033264,0.522522652,1880-1900
1892,1.08094865,0.475208205,1.08094865,0.475208205,1.174707597,0.554829145,1.174707597,0.559774195,1880-1900
1893,1.085967025,0.462461915,1.085967025,0.462461915,1.174966565,0.545201811,1.174966565,0.552105758,1880-1900
1894,1.102056206,0.511317449,1.102056206,0.511317449,1.185253629,0.569431206,1.185253629,0.575017068,1880-1900
1895,1.053983741,0.455643569,1.053983741,0.455643569,1.134656378,0.522974385,1.134656378,0.528319445,1880-1900
1896,1.123523737,0.481696741,1.123523737,0.481696741,1.214914123,0.553600513,1.214914123,0.557270938,1880-1900
1897,1.091055838,0.483045395,1.091055838,0.483045395,1.192751964,0.574377454,1.192751964,0.578415331,1880-1900
1898,1.118538947,0.488975938,1.118538947,0.488975938,1.204527563,0.552674688,1.204527563,0.557214996,1880-1900
1899,1.095921034,0.504822935,1.095921034,0.504822935,1.174797832,0.564743183,1.174797832,0.568542398,1880-1900
