"","sum"
"lyr1",1.10605985203066
"lyr2",1.123093705067
"lyr3",1.11239167454539
"lyr4",1.17110791914397
"lyr5",1.10073970488918
"lyr6",1.12945473153427
"lyr7",1.14375364694753
"lyr8",1.17683116668469
"lyr9",1.16517526186016
"lyr10",1.0784470538433
"lyr11",1.16250995871052
"lyr12",1.12251961749528
"lyr13",1.17304314184667
"lyr14",1.16015679928402
"lyr15",1.17428179374134
"lyr16",1.17464126662459
"lyr17",1.15469752298749
"lyr18",1.14392242793093
"lyr19",1.1490352233877
"lyr20",1.11951076649472
"lyr21",1.13400136903278
"lyr22",1.10398820391719
"lyr23",1.1682963595817
"lyr24",1.1676050331318
"lyr25",1.1493427753449
"lyr26",1.21959157623953
"lyr27",1.18410935963721
"lyr28",1.21836932776047
"lyr29",1.21064501312228
"lyr30",1.19577351442143
"lyr31",1.15769424305262
"lyr32",1.18022688903236
"lyr33",1.18649783320598
"lyr34",1.19050952699739
"lyr35",1.19015218184318
"lyr36",1.17118684945143
"lyr37",1.19099281983822
"lyr38",1.13875449191587
"lyr39",1.14542311235809
"lyr40",1.16730270055849
"lyr41",1.15618776268805
"lyr42",1.13403326443344
"lyr43",1.17470759720057
"lyr44",1.1749665647013
"lyr45",1.18525362914627
"lyr46",1.13465637793082
"lyr47",1.2149141233812
"lyr48",1.1927519642557
"lyr49",1.20452756257195
"lyr50",1.17479783195969
"lyr51",1.21527419647183
"lyr52",1.19396435545843
"lyr53",1.16248225411624
"lyr54",1.11196965338185
"lyr55",1.1478124541601
"lyr56",1.16576212736132
"lyr57",1.17261574279844
"lyr58",1.17086741082029
"lyr59",1.15266904199802
"lyr60",1.21796223740961
"lyr61",1.16207570320323
"lyr62",1.14484331710093
"lyr63",1.10708644208197
"lyr64",1.13239598487232
"lyr65",1.08750486377378
"lyr66",1.13501969563189
"lyr67",1.13444311622714
"lyr68",1.11110137794096
"lyr69",1.16050475210778
"lyr70",1.1499872905196
"lyr71",1.14377170311129
"lyr72",1.13618203374614
"lyr73",1.17934338292916
"lyr74",1.1914651506191
"lyr75",1.17375022140817
"lyr76",1.17525782246964
"lyr77",1.17305790197795
"lyr78",1.20064030014155
"lyr79",1.20493753520906
"lyr80",1.2225360646325
"lyr81",1.18590393533908
"lyr82",1.19061487559834
"lyr83",1.20663537192399
"lyr84",1.19675800254826
"lyr85",1.19283906482079
"lyr86",1.17243680857022
"lyr87",1.16899407819138
"lyr88",1.17937257975884
"lyr89",1.20072441170814
"lyr90",1.19370183784572
"lyr91",1.21423390903457
"lyr92",1.1884724107156
"lyr93",1.16379513617515
"lyr94",1.1865931044712
"lyr95",1.1728720780619
"lyr96",1.22255633590205
"lyr97",1.23153441509612
"lyr98",1.2135180290957
"lyr99",1.19665221706106
