"","sum"
"lyr1",1.07208856559475
"lyr2",1.09989425133862
"lyr3",1.07861503775365
"lyr4",1.10909717422838
"lyr5",1.13551499204046
"lyr6",1.1305233602694
"lyr7",1.14857521126726
"lyr8",1.17172969518421
"lyr9",1.18267481450903
"lyr10",1.07746842845804
"lyr11",1.14352318619038
"lyr12",1.13700349329109
"lyr13",1.14171432037069
"lyr14",1.11048844881848
"lyr15",1.14587494206416
"lyr16",1.11023799770699
"lyr17",1.13815959375684
"lyr18",1.12179125304443
"lyr19",1.13790763850602
"lyr20",1.10001882665941
"lyr21",1.13830904181349
"lyr22",1.12567962552148
"lyr23",1.15244020141348
"lyr24",1.18835011293294
"lyr25",1.16428095151024
"lyr26",1.19475596958093
"lyr27",1.19032659123486
"lyr28",1.26257109457556
"lyr29",1.25527088369746
"lyr30",1.16583044279216
"lyr31",1.16246131829087
"lyr32",1.22400337619985
"lyr33",1.16961411110961
"lyr34",1.2255240775498
"lyr35",1.14849193964868
"lyr36",1.10600054751296
"lyr37",1.17061034278189
"lyr38",1.11311397342671
"lyr39",1.10573655881269
"lyr40",1.16845671679691
"lyr41",1.17487421532798
"lyr42",1.0875131139519
"lyr43",1.19927406386324
"lyr44",1.20103672751868
"lyr45",1.20668984247069
"lyr46",1.20453461198018
"lyr47",1.23158083510535
"lyr48",1.15733207777459
"lyr49",1.20597953667511
"lyr50",1.21300909646018
"lyr51",1.22966031653389
"lyr52",1.24371789554119
"lyr53",1.23942835948991
"lyr54",1.12210566958618
"lyr55",1.15986559055768
"lyr56",1.22051943145824
"lyr57",1.18650071002431
"lyr58",1.200262834869
"lyr59",1.17404932215961
"lyr60",1.20990644432653
"lyr61",1.22021199477584
"lyr62",1.21288868111196
"lyr63",1.20015528487538
"lyr64",1.18117920762831
"lyr65",1.16093288053172
"lyr66",1.23518224209821
"lyr67",1.23693141647451
"lyr68",1.14730770417287
"lyr69",1.27403653169811
"lyr70",1.24660899043952
"lyr71",1.15863482873882
"lyr72",1.15756203237873
"lyr73",1.19185697013578
"lyr74",1.23880261321592
"lyr75",1.21057905423629
"lyr76",1.2425750913716
"lyr77",1.17630062071063
"lyr78",1.20154156239765
"lyr79",1.26705129321812
"lyr80",1.26985458059509
"lyr81",1.22823443397728
"lyr82",1.18737125824963
"lyr83",1.23854735554784
"lyr84",1.21598249033908
"lyr85",1.23285029496486
"lyr86",1.17058056061912
"lyr87",1.19884816274658
"lyr88",1.26236563932132
"lyr89",1.27692474652456
"lyr90",1.28233799606598
"lyr91",1.29878640055325
"lyr92",1.26975119265741
"lyr93",1.22855256221175
"lyr94",1.22346563649513
"lyr95",1.21683641690617
"lyr96",1.30621194814489
"lyr97",1.34863850361605
"lyr98",1.2972260858188
"lyr99",1.33884024439067
"lyr100",1.30228764097991
"lyr101",1.30237856562836
"lyr102",1.23731203963631
"lyr103",1.27840599024677
"lyr104",1.31054752984135
"lyr105",1.29487941608331
"lyr106",1.27130931474914
"lyr107",1.28194863218324
"lyr108",1.3507379267649
"lyr109",1.2429082386229
"lyr110",1.24722307654882
"lyr111",1.24517582368731
"lyr112",1.28089873907814
"lyr113",1.28391207169826
"lyr114",1.31724595945743
"lyr115",1.21688282042373
"lyr116",1.25007646866773
"lyr117",1.22325587012619
"lyr118",1.15744923487014
"lyr119",1.20921316304861
"lyr120",1.2230825891646
"lyr121",1.25776603724135
"lyr122",1.21868083056089
"lyr123",1.22907394323652
"lyr124",1.25963752966964
"lyr125",1.18920665512832
"lyr126",1.24678490060091
"lyr127",1.25081037932056
"lyr128",1.31112412867561
"lyr129",1.31889699986322
"lyr130",1.29953140235246
"lyr131",1.25942176502708
"lyr132",1.29168783116055
"lyr133",1.27070417745594
"lyr134",1.27339767912032
"lyr135",1.29845311863679
"lyr136",1.34998532470257
"lyr137",1.36656022136216
"lyr138",1.35326267731468
"lyr139",1.3195990413894
"lyr140",1.37173127652223
"lyr141",1.3305424868819
"lyr142",1.35496793382599
"lyr143",1.33212690391196
"lyr144",1.37273849839082
"lyr145",1.36942991924005
"lyr146",1.34158386561065
"lyr147",1.45433199360714
"lyr148",1.4692116425583
"lyr149",1.45592734312077
"lyr150",1.49475378737945
"lyr151",1.5472969022971
"lyr152",1.52255438875764
"lyr153",1.56512657886185
"lyr154",1.53953302434653
"lyr155",1.58494058980341
"lyr156",1.61340487996322
"lyr157",1.67079447864643
"lyr158",1.69581703552547
"lyr159",1.7036048199391
"lyr160",1.72230374812537
"lyr161",1.75029201267682
"lyr162",1.78195210331109
"lyr163",1.76328064792484
"lyr164",1.72805774808839
"lyr165",1.82844169605481
"lyr166",1.94320998866938
"lyr167",1.94644810197349
"lyr168",1.94493077297065
"lyr169",1.96231097765015
"lyr170",2.04172347215859
"lyr171",2.10122222077734
"lyr172",2.02882825219444
"lyr173",2.13568116909352
"lyr174",2.16909390500011
"lyr175",2.16979466274495
"lyr176",2.27907558160854
"lyr177",2.17328287246868
"lyr178",2.2549557185244
"lyr179",2.31067046252037
"lyr180",2.32727542874646
"lyr181",2.40121361327497
"lyr182",2.35857619301556
"lyr183",2.39559816361707
"lyr184",2.40313876972611
"lyr185",2.53585780169009
