"","sum"
"lyr1",0.323688362532117
"lyr2",0.345110514455152
"lyr3",0.323899870797477
"lyr4",0.380855382305582
"lyr5",0.422675419400984
"lyr6",0.367989030306363
"lyr7",0.41784430434198
"lyr8",0.436745812869287
"lyr9",0.427870669227549
"lyr10",0.336844371200887
"lyr11",0.390550695900521
"lyr12",0.36751095462842
"lyr13",0.379059924265414
"lyr14",0.34814401942611
"lyr15",0.387443041045207
"lyr16",0.376259759643011
"lyr17",0.382958552983457
"lyr18",0.389224358678519
"lyr19",0.359562300739267
"lyr20",0.344974788028877
"lyr21",0.375212518767135
"lyr22",0.378577789709741
"lyr23",0.372979931457882
"lyr24",0.40397609586149
"lyr25",0.386105863155661
"lyr26",0.39479118735564
"lyr27",0.409875423467403
"lyr28",0.453022265107719
"lyr29",0.458509940926602
"lyr30",0.410972976315295
"lyr31",0.412487609416955
"lyr32",0.4514407783429
"lyr33",0.386589034634864
"lyr34",0.435214688950687
"lyr35",0.387016179147277
"lyr36",0.359249418404946
"lyr37",0.424878974208334
"lyr38",0.362499185844465
"lyr39",0.381629995154982
"lyr40",0.390816789883278
"lyr41",0.382359757038762
"lyr42",0.36192911272038
"lyr43",0.421707917682049
"lyr44",0.430579657411885
"lyr45",0.443413594409051
"lyr46",0.393825475851854
"lyr47",0.460415218039364
"lyr48",0.418662591233645
"lyr49",0.447129644419476
"lyr50",0.444366572984766
"lyr51",0.473909108764821
"lyr52",0.47074518152997
"lyr53",0.475572986450551
"lyr54",0.38807738535896
"lyr55",0.405703003671051
"lyr56",0.457186519588229
"lyr57",0.436415759611427
"lyr58",0.425278897452208
"lyr59",0.425756474726989
"lyr60",0.438205654548604
"lyr61",0.43746833847902
"lyr62",0.431079647360885
"lyr63",0.442034560052143
"lyr64",0.438098592603819
"lyr65",0.429773712577334
"lyr66",0.429236711987286
"lyr67",0.410673911164435
"lyr68",0.365344949015691
"lyr69",0.440823570062899
"lyr70",0.446359330687343
"lyr71",0.394439109677037
"lyr72",0.427269150031476
"lyr73",0.427757503307734
"lyr74",0.460840839948521
"lyr75",0.45129719723553
"lyr76",0.471904982918531
"lyr77",0.389523791490621
"lyr78",0.433421785919563
"lyr79",0.487868269788278
"lyr80",0.463040115196983
"lyr81",0.456013058161437
"lyr82",0.431792294151408
"lyr83",0.461873633842386
"lyr84",0.425561122380692
"lyr85",0.416812498287071
"lyr86",0.399168773205606
"lyr87",0.404247433893694
"lyr88",0.429875657767982
"lyr89",0.449686080814226
"lyr90",0.462048185887682
"lyr91",0.490121265375258
"lyr92",0.446989245648878
"lyr93",0.453411261422153
"lyr94",0.443247718937755
