Year,sum,SSP585,sum.1,SSP370,sum.2,SSP245,sum.3,SSP126
1850,18.510245,-1.742622613,18.510245,-1.742622613,16.54772093,-1.438064289,16.54772093,-1.438064289
1851,18.78067821,-1.472189408,18.78067821,-1.472189408,16.76382006,-1.221965155,16.76382006,-1.221965155
1852,18.52263265,-1.730234965,18.52263265,-1.730234965,16.66358397,-1.322201245,16.66358397,-1.322201245
1853,19.22363885,-1.029228771,19.22363885,-1.029228771,17.62833983,-0.357445385,17.62833983,-0.357445385
1854,18.76548271,-1.487384906,18.76548271,-1.487384906,16.95092753,-1.034857688,16.95092753,-1.034857688
1855,18.94405957,-1.308808042,18.94405957,-1.308808042,17.34467943,-0.641105781,17.34467943,-0.641105781
1856,19.50881311,-0.744054506,19.50881311,-0.744054506,17.43694467,-0.548840543,17.43694467,-0.548840543
1857,19.89500032,-0.3578673,19.89500032,-0.3578673,18.08784506,0.102059841,18.08784506,0.102059841
1858,20.03200357,-0.220864042,20.03200357,-0.220864042,17.79898575,-0.186799469,17.79898575,-0.186799469
1859,18.60726012,-1.645607497,18.60726012,-1.645607497,16.22402357,-1.761761649,16.22402357,-1.761761649
1860,19.69688563,-0.555981982,19.69688563,-0.555981982,17.38738329,-0.598401924,17.38738329,-0.598401924
1861,19.47763888,-0.775228734,19.47763888,-0.775228734,16.93868375,-1.047101466,16.93868375,-1.047101466
1862,19.89923974,-0.353627874,19.89923974,-0.353627874,17.45581199,-0.529973228,17.45581199,-0.529973228
1863,19.49257016,-0.760297458,19.49257016,-0.760297458,17.29713781,-0.688647409,17.29713781,-0.688647409
1864,19.93425009,-0.318617526,19.93425009,-0.318617526,17.72717348,-0.258611738,17.72717348,-0.258611738
1865,19.59210034,-0.66076728,19.59210034,-0.66076728,17.58719873,-0.398586481,17.58719873,-0.398586481
1866,19.59568039,-0.657187227,19.59568039,-0.657187227,17.66604734,-0.319737872,17.66604734,-0.319737872
1867,19.57794358,-0.674924036,19.57794358,-0.674924036,17.29529693,-0.69048829,17.29529693,-0.69048829
1868,19.32038062,-0.932486995,19.32038062,-0.932486995,17.60926993,-0.376515282,17.60926993,-0.376515282
1869,19.04553132,-1.207336299,19.04553132,-1.207336299,16.77642327,-1.20936194,16.77642327,-1.20936194
1870,19.61831074,-0.634556881,19.61831074,-0.634556881,17.19196009,-0.793825129,17.19196009,-0.793825129
1871,18.92977875,-1.323088864,18.92977875,-1.323088864,16.98221865,-1.003566562,16.98221865,-1.003566562
1872,19.8928237,-0.360043916,19.8928237,-0.360043916,17.69461491,-0.291170307,17.69461491,-0.291170307
1873,20.14360074,-0.109266877,20.14360074,-0.109266877,17.99144673,0.005661516,17.99144673,0.005661516
1874,19.56715167,-0.685715943,19.56715167,-0.685715943,17.50082563,-0.484959582,17.50082563,-0.484959582
1875,20.75204537,0.499177753,20.75204537,0.499177753,18.30595987,0.320174659,18.30595987,0.320174659
1876,20.36442729,0.111559671,20.36442729,0.111559671,17.95721265,-0.02857257,17.95721265,-0.02857257
1877,21.20238637,0.94951875,21.20238637,0.94951875,18.90588457,0.920099359,18.90588457,0.920099359
1878,21.07115685,0.818289234,21.07115685,0.818289234,18.82640377,0.84061856,18.82640377,0.84061856
1879,20.32895859,0.076090972,20.32895859,0.076090972,18.03264886,0.046863646,18.03264886,0.046863646
1880,19.76254038,-0.490327231,19.76254038,-0.490327231,17.66502627,-0.320758944,17.66502627,-0.320758944
1881,20.76170522,0.508837607,20.76170522,0.508837607,18.24982249,0.264037273,18.24982249,0.264037273
1882,20.38748993,0.134622316,20.38748993,0.134622316,17.85158432,-0.13420089,17.85158432,-0.13420089
1883,20.8384446,0.585576986,20.8384446,0.585576986,18.45133021,0.465544996,18.45133021,0.465544996
1884,20.26074439,0.007876776,20.26074439,0.007876776,17.89389902,-0.091886196,17.89389902,-0.091886196
1885,19.84594684,-0.406920779,19.84594684,-0.406920779,17.31183273,-0.673952481,17.31183273,-0.673952481
1886,20.56230653,0.309438913,20.56230653,0.309438913,18.0186878,0.032902586,18.0186878,0.032902586
1887,19.49225362,-0.760613994,19.49225362,-0.760613994,17.10665748,-0.879127733,17.10665748,-0.879127733
1888,19.57644546,-0.67642216,19.57644546,-0.67642216,17.01473539,-0.971049829,17.01473539,-0.971049829
1889,20.20086262,-0.052004991,20.20086262,-0.052004991,18.00588863,0.020103418,18.00588863,0.020103418
1890,20.30190806,0.049040447,20.30190806,0.049040447,17.81709215,-0.168693066,17.81709215,-0.168693066
1891,19.11875979,-1.134107824,19.11875979,-1.134107824,17.01856739,-0.967217821,17.01856739,-0.967217821
1892,20.47705984,0.224192223,20.47705984,0.224192223,18.16806468,0.182279467,18.16806468,0.182279467
1893,20.32019381,0.067326194,20.32019381,0.067326194,18.20767336,0.221888146,18.20767336,0.221888146
1894,20.36443548,0.111567868,20.36443548,0.111567868,18.39739103,0.411605815,18.39739103,0.411605815
1895,19.97490448,-0.277963136,19.97490448,-0.277963136,17.9474171,-0.038368113,17.9474171,-0.038368113
1896,20.83693112,0.584063503,20.83693112,0.584063503,18.7853121,0.799526881,18.7853121,0.799526881
1897,20.32230752,0.069439908,20.32230752,0.069439908,17.9815182,-0.004267016,17.9815182,-0.004267016
1898,20.48084642,0.227978805,20.48084642,0.227978805,18.56197239,0.576187177,18.56197239,0.576187177
1899,20.49124684,0.238379227,20.49124684,0.238379227,18.38283461,0.397049394,18.38283461,0.397049394
1900,20.93288696,0.680019343,20.93288696,0.680019343,18.86418215,0.878396937,18.86418215,0.878396937
